Index;ZCF.Close;ZCF.Volume;ZCF.Adjusted
05/08/2005;220.5;758;220.5
08/08/2005;222;1225;222
09/08/2005;218.75;784;218.75
10/08/2005;223;1538;223
11/08/2005;225;1360;225
12/08/2005;217.75;1674;217.75
15/08/2005;210.5;399;210.5
16/08/2005;209.5;387;209.5
17/08/2005;213;351;213
18/08/2005;211.25;391;211.25
19/08/2005;210.25;114;210.25
22/08/2005;212.5;343;212.5
23/08/2005;210.5;301;210.5
24/08/2005;208.75;505;208.75
25/08/2005;206.25;369;206.25
26/08/2005;203.75;1845;203.75
29/08/2005;204.75;807;204.75
30/08/2005;203.5;1184;203.5
31/08/2005;201.5;145;201.5
01/09/2005;207.75;54;207.75
02/09/2005;203.5;209;203.5
05/09/2005;NA;NA;NA
06/09/2005;207.5;209;207.5
07/09/2005;204.25;107;204.25
08/09/2005;202.75;37;202.75
09/09/2005;203;10;203
12/09/2005;198.5;67;198.5
13/09/2005;198.5;1;198.5
14/09/2005;195;2067;195
15/09/2005;206.5;729;206.5
16/09/2005;206.25;588;206.25
19/09/2005;206.25;1043;206.25
20/09/2005;206.75;682;206.75
21/09/2005;206.5;1896;206.5
22/09/2005;208.25;590;208.25
23/09/2005;207.25;574;207.25
26/09/2005;204.5;530;204.5
27/09/2005;203.25;464;203.25
28/09/2005;203.25;854;203.25
29/09/2005;203.5;678;203.5
30/09/2005;205.5;1737;205.5
03/10/2005;208.75;2323;208.75
04/10/2005;205.75;1506;205.75
05/10/2005;204.75;996;204.75
06/10/2005;204.25;620;204.25
07/10/2005;202.5;660;202.5
10/10/2005;202;1470;202
11/10/2005;202.5;2079;202.5
12/10/2005;205.75;1980;205.75
13/10/2005;203.5;789;203.5
14/10/2005;203.5;823;203.5
17/10/2005;203.75;1337;203.75
18/10/2005;202;666;202
19/10/2005;201.75;1898;201.75
20/10/2005;202.75;1481;202.75
21/10/2005;201.5;1095;201.5
24/10/2005;199.5;1455;199.5
25/10/2005;199.5;850;199.5
26/10/2005;198.25;557;198.25
27/10/2005;197.75;1007;197.75
28/10/2005;197;636;197
31/10/2005;196.25;2138;196.25
01/11/2005;196.75;1630;196.75
02/11/2005;196;978;196
03/11/2005;196.25;951;196.25
04/11/2005;195.5;886;195.5
07/11/2005;194.75;1012;194.75
08/11/2005;195.25;1179;195.25
09/11/2005;195.25;2847;195.25
10/11/2005;193.75;397;193.75
11/11/2005;195.5;1739;195.5
14/11/2005;196.75;746;196.75
15/11/2005;195.75;463;195.75
16/11/2005;192.75;1489;192.75
17/11/2005;192.25;744;192.25
18/11/2005;191.25;579;191.25
21/11/2005;191.5;830;191.5
22/11/2005;191.5;2023;191.5
23/11/2005;190.75;2023;190.75
24/11/2005;190.75;370;190.75
25/11/2005;189.75;2291;189.75
28/11/2005;187.75;2115;187.75
29/11/2005;186.25;988;186.25
30/11/2005;187.5;189;187.5
01/12/2005;189.25;246;189.25
02/12/2005;189.75;168;189.75
05/12/2005;193.5;89;193.5
06/12/2005;190.75;24;190.75
07/12/2005;187;22;187
08/12/2005;188.25;97;188.25
09/12/2005;189.75;37;189.75
12/12/2005;194.25;37;194.25
13/12/2005;195.5;0;195.5
14/12/2005;194.25;573;194.25
15/12/2005;204.75;1449;204.75
16/12/2005;207.5;1548;207.5
19/12/2005;208.75;1881;208.75
20/12/2005;209.75;1229;209.75
21/12/2005;210;2481;210
22/12/2005;212.75;1381;212.75
23/12/2005;214;3407;214
26/12/2005;NA;NA;NA
27/12/2005;215.5;1376;215.5
28/12/2005;216.25;1312;216.25
29/12/2005;211;1671;211
30/12/2005;215.75;4756;215.75
02/01/2006;NA;NA;NA
03/01/2006;220;2672;220
04/01/2006;218.25;1703;218.25
05/01/2006;215.5;1097;215.5
06/01/2006;214.25;3455;214.25
09/01/2006;211;2717;211
10/01/2006;213.25;1500;213.25
11/01/2006;214.5;2310;214.5
12/01/2006;212.75;1444;212.75
13/01/2006;213.5;1779;213.5
16/01/2006;NA;NA;NA
17/01/2006;208.75;2882;208.75
18/01/2006;205.75;1292;205.75
19/01/2006;205;919;205
20/01/2006;205;3265;205
23/01/2006;208.25;1010;208.25
24/01/2006;213.25;4639;213.25
25/01/2006;216.5;2308;216.5
26/01/2006;217;3797;217
27/01/2006;218.75;6283;218.75
30/01/2006;217.75;2030;217.75
31/01/2006;218.75;4187;218.75
01/02/2006;216.5;898;216.5
02/02/2006;220.5;5533;220.5
03/02/2006;225.25;6383;225.25
06/02/2006;222.75;3126;222.75
07/02/2006;218;5016;218
08/02/2006;221.25;4792;221.25
09/02/2006;225.5;7552;225.5
10/02/2006;221.25;4553;221.25
13/02/2006;220.75;1444;220.75
14/02/2006;218.75;1549;218.75
15/02/2006;222;5895;222
16/02/2006;223.5;1132;223.5
17/02/2006;226.5;2877;226.5
20/02/2006;NA;NA;NA
21/02/2006;226;971;226
22/02/2006;221.5;844;221.5
23/02/2006;223;2059;223
24/02/2006;227.75;3750;227.75
27/02/2006;227.5;1347;227.5
28/02/2006;228;486;228
01/03/2006;224.25;1273;224.25
02/03/2006;228.5;175;228.5
03/03/2006;228.75;447;228.75
06/03/2006;223;534;223
07/03/2006;221;197;221
08/03/2006;219;68;219
09/03/2006;223.25;194;223.25
10/03/2006;226;140;226
13/03/2006;220.5;41;220.5
14/03/2006;218.75;1258;218.75
15/03/2006;229.25;813;229.25
16/03/2006;224.5;1722;224.5
17/03/2006;221.5;3537;221.5
20/03/2006;218.25;1847;218.25
21/03/2006;223.5;3088;223.5
22/03/2006;222.5;1341;222.5
23/03/2006;219.25;867;219.25
24/03/2006;218.75;12515;218.75
27/03/2006;221.75;1054;221.75
28/03/2006;222.25;1944;222.25
29/03/2006;224.25;716;224.25
30/03/2006;227.75;2082;227.75
31/03/2006;236;5105;236
03/04/2006;236.5;1691;236.5
04/04/2006;234.5;1140;234.5
05/04/2006;236.25;1783;236.25
06/04/2006;241.5;1992;241.5
07/04/2006;243;2807;243
10/04/2006;241.25;1345;241.25
11/04/2006;242;1755;242
12/04/2006;237;3471;237
13/04/2006;236.25;3236;236.25
14/04/2006;NA;NA;NA
17/04/2006;236.5;869;236.5
18/04/2006;239.25;1706;239.25
19/04/2006;238.5;572;238.5
20/04/2006;235.75;1555;235.75
21/04/2006;236.5;1508;236.5
24/04/2006;232.75;1085;232.75
25/04/2006;231;620;231
26/04/2006;231.5;2388;231.5
27/04/2006;231.25;1161;231.25
28/04/2006;238.25;441;238.25
01/05/2006;238;682;238
02/05/2006;233.25;649;233.25
03/05/2006;232.25;201;232.25
04/05/2006;229.75;76;229.75
05/05/2006;230.75;76;230.75
08/05/2006;227;22;227
09/05/2006;228.5;25;228.5
10/05/2006;230;25;230
11/05/2006;237.75;4;237.75
12/05/2006;248.25;11367;248.25
15/05/2006;260;4837;260
16/05/2006;259;5448;259
17/05/2006;263;4661;263
18/05/2006;260.25;2636;260.25
19/05/2006;252.75;7033;252.75
22/05/2006;254.5;2284;254.5
23/05/2006;253;1785;253
24/05/2006;249.5;4467;249.5
25/05/2006;253.25;9252;253.25
26/05/2006;254;6588;254
29/05/2006;NA;NA;NA
30/05/2006;254.5;2242;254.5
31/05/2006;251.25;5588;251.25
01/06/2006;254.5;3352;254.5
02/06/2006;259.5;5311;259.5
05/06/2006;253;2235;253
06/06/2006;247.75;5124;247.75
07/06/2006;251;2499;251
08/06/2006;245.5;3553;245.5
09/06/2006;242;11446;242
12/06/2006;247.5;2762;247.5
13/06/2006;243.25;3270;243.25
14/06/2006;237;2120;237
15/06/2006;233;8277;233
16/06/2006;235.5;4230;235.5
19/06/2006;229.75;2326;229.75
20/06/2006;229.75;1794;229.75
21/06/2006;232.75;2066;232.75
22/06/2006;230.5;656;230.5
23/06/2006;228.25;1211;228.25
26/06/2006;223;1570;223
27/06/2006;225.25;1075;225.25
28/06/2006;226;2069;226
29/06/2006;228.5;863;228.5
30/06/2006;235.5;515;235.5
03/07/2006;243.25;684;243.25
04/07/2006;NA;NA;NA
05/07/2006;239.5;1440;239.5
06/07/2006;245.25;955;245.25
07/07/2006;241;666;241
10/07/2006;247.75;1248;247.75
11/07/2006;253.75;2905;253.75
12/07/2006;259.25;20;259.25
13/07/2006;252.5;5;252.5
14/07/2006;253.5;2543;253.5
17/07/2006;251.75;2672;251.75
18/07/2006;246.5;1932;246.5
19/07/2006;244.75;2213;244.75
20/07/2006;242.5;1815;242.5
21/07/2006;237.25;1578;237.25
24/07/2006;239;2130;239
25/07/2006;239.5;1261;239.5
26/07/2006;236;1771;236
27/07/2006;237.75;662;237.75
28/07/2006;237.25;9034;237.25
31/07/2006;239;7737;239
01/08/2006;240.5;24311;240.5
02/08/2006;247.25;7227;247.25
03/08/2006;245;2997;245
04/08/2006;245;8863;245
07/08/2006;239.75;10314;239.75
08/08/2006;235.75;12956;235.75
09/08/2006;239.75;7844;239.75
10/08/2006;238.75;21355;238.75
11/08/2006;224.75;25436;224.75
14/08/2006;222;10494;222
15/08/2006;222;11555;222
16/08/2006;221.5;15165;221.5
17/08/2006;219;5027;219
18/08/2006;219.75;4058;219.75
21/08/2006;221;9263;221
22/08/2006;219.5;6076;219.5
23/08/2006;223.5;6558;223.5
24/08/2006;227.5;7026;227.5
25/08/2006;225;4181;225
28/08/2006;224.5;7539;224.5
29/08/2006;222.75;12446;222.75
30/08/2006;228.5;7294;228.5
31/08/2006;232;5094;232
01/09/2006;230;2355;230
04/09/2006;NA;NA;NA
05/09/2006;228.75;4178;228.75
06/09/2006;226.25;2905;226.25
07/09/2006;230.75;661;230.75
08/09/2006;231.75;1360;231.75
11/09/2006;228.75;102;228.75
12/09/2006;223.5;889;223.5
13/09/2006;224;138;224
14/09/2006;223;59636;223
15/09/2006;241.75;63173;241.75
18/09/2006;247.75;42998;247.75
19/09/2006;246.5;47159;246.5
20/09/2006;249;76465;249
21/09/2006;257.25;56463;257.25
22/09/2006;255.25;58408;255.25
25/09/2006;254.75;48440;254.75
26/09/2006;259;55144;259
27/09/2006;253.75;98585;253.75
28/09/2006;264.25;85184;264.25
29/09/2006;262.5;49229;262.5
02/10/2006;267.75;14712;267.75
03/10/2006;264;71352;264
04/10/2006;274.25;92135;274.25
05/10/2006;271.75;51348;271.75
06/10/2006;271;67919;271
09/10/2006;289.5;92572;289.5
10/10/2006;275.5;74865;275.5
11/10/2006;284;82688;284
12/10/2006;298.25;71882;298.25
13/10/2006;314.5;74653;314.5
16/10/2006;316.75;61264;316.75
17/10/2006;321;52273;321
18/10/2006;315.5;51228;315.5
19/10/2006;316;37537;316
20/10/2006;312.75;63178;312.75
23/10/2006;318.25;57230;318.25
24/10/2006;324.25;56534;324.25
25/10/2006;327;51145;327
26/10/2006;327;43104;327
27/10/2006;332.5;55413;332.5
30/10/2006;329.5;73819;329.5
31/10/2006;320.75;71410;320.75
01/11/2006;333.5;102255;333.5
02/11/2006;344.75;72973;344.75
03/11/2006;342.25;60824;342.25
06/11/2006;343.5;68781;343.5
07/11/2006;351;111316;351
08/11/2006;357.75;102325;357.75
09/11/2006;350;67298;350
10/11/2006;343.25;88073;343.25
13/11/2006;342.5;103624;342.5
14/11/2006;357.75;98320;357.75
15/11/2006;358.25;77118;358.25
16/11/2006;351.5;62703;351.5
17/11/2006;355.25;62407;355.25
20/11/2006;360;31441;360
21/11/2006;361.25;24843;361.25
22/11/2006;362.75;24843;362.75
23/11/2006;362.75;14094;362.75
24/11/2006;369.25;31676;369.25
27/11/2006;371.5;14893;371.5
28/11/2006;368.75;20316;368.75
29/11/2006;370.25;14728;370.25
30/11/2006;377;7473;377
01/12/2006;374;8080;374
04/12/2006;362.75;5194;362.75
05/12/2006;366.25;5328;366.25
06/12/2006;353;3597;353
07/12/2006;358.5;2924;358.5
08/12/2006;354.25;2354;354.25
11/12/2006;355.5;2331;355.5
12/12/2006;359;2808;359
13/12/2006;354.5;816;354.5
14/12/2006;358.75;42698;358.75
15/12/2006;369;44609;369
18/12/2006;365.75;55673;365.75
19/12/2006;373;44745;373
20/12/2006;372.75;44129;372.75
21/12/2006;377.75;29643;377.75
22/12/2006;384;32368;384
25/12/2006;NA;NA;NA
26/12/2006;388;29944;388
27/12/2006;386.75;32477;386.75
28/12/2006;388.5;27251;388.5
29/12/2006;390.25;91431;390.25
01/01/2007;NA;NA;NA
02/01/2007;NA;NA;NA
03/01/2007;370.5;94238;370.5
04/01/2007;362.25;71276;362.25
05/01/2007;368.25;64095;368.25
08/01/2007;363.5;109010;363.5
09/01/2007;354.5;101093;354.5
10/01/2007;360.25;112790;360.25
11/01/2007;376.5;3478;376.5
12/01/2007;396.5;146893;396.5
15/01/2007;NA;NA;NA
16/01/2007;403;103560;403
17/01/2007;408;101734;408
18/01/2007;412.25;81188;412.25
19/01/2007;406.75;76853;406.75
22/01/2007;404.25;85482;404.25
23/01/2007;409;76575;409
24/01/2007;400.75;82213;400.75
25/01/2007;407;58266;407
26/01/2007;405.5;71176;405.5
29/01/2007;400;73303;400
30/01/2007;404.75;72004;404.75
31/01/2007;404;76019;404
01/02/2007;398;63365;398
02/02/2007;402;48860;402
05/02/2007;402;62946;402
06/02/2007;396.5;102888;396.5
07/02/2007;392.25;92477;392.25
08/02/2007;399.75;100437;399.75
09/02/2007;406.25;69079;406.25
12/02/2007;404.75;69196;404.75
13/02/2007;411;80090;411
14/02/2007;408.25;78194;408.25
15/02/2007;407.5;64332;407.5
16/02/2007;417;76131;417
20/02/2007;415.25;55388;415.25
21/02/2007;426.25;43649;426.25
22/02/2007;434.5;36109;434.5
23/02/2007;430.25;38281;430.25
26/02/2007;425.5;32802;425.5
27/02/2007;411;21962;411
28/02/2007;425.25;15509;425.25
01/03/2007;417.25;13347;417.25
02/03/2007;411;6440;411
05/03/2007;417.25;4383;417.25
06/03/2007;412.5;2668;412.5
07/03/2007;415.75;6179;415.75
08/03/2007;412;3312;412
09/03/2007;408.25;2528;408.25
12/03/2007;399.75;2528;399.75
13/03/2007;397;955;397
14/03/2007;389.5;97638;389.5
15/03/2007;397.75;70682;397.75
16/03/2007;399.5;104538;399.5
19/03/2007;398;77249;398
20/03/2007;405.25;80994;405.25
21/03/2007;409.75;75619;409.75
22/03/2007;409.5;40090;409.5
23/03/2007;403.25;61263;403.25
26/03/2007;391;82187;391
27/03/2007;392.5;59601;392.5
28/03/2007;388.5;74599;388.5
29/03/2007;394.5;68599;394.5
30/03/2007;374.5;33619;374.5
02/04/2007;354.75;69692;354.75
03/04/2007;346.25;105031;346.25
04/04/2007;359.25;86821;359.25
05/04/2007;366;63866;366
09/04/2007;363.5;94542;363.5
10/04/2007;369;95110;369
11/04/2007;360.75;73134;360.75
12/04/2007;358.75;122051;358.75
13/04/2007;369;74868;369
16/04/2007;364.25;42803;364.25
17/04/2007;353.25;36971;353.25
18/04/2007;363.5;49367;363.5
19/04/2007;371.25;39043;371.25
20/04/2007;360.5;34509;360.5
23/04/2007;352.25;23700;352.25
24/04/2007;360.5;25180;360.5
25/04/2007;371.25;32945;371.25
26/04/2007;364.75;22618;364.75
27/04/2007;364.25;24996;364.25
30/04/2007;358;17422;358
01/05/2007;367.5;12195;367.5
02/05/2007;372;8228;372
03/05/2007;379.75;7391;379.75
04/05/2007;381.25;7263;381.25
07/05/2007;369.5;4001;369.5
08/05/2007;353.75;5118;353.75
09/05/2007;357.25;4642;357.25
10/05/2007;345.75;2358;345.75
11/05/2007;361;2921;361
14/05/2007;358;55739;358
15/05/2007;371.5;72271;371.5
16/05/2007;376;87194;376
17/05/2007;373;87046;373
18/05/2007;371.25;58452;371.25
21/05/2007;381;61268;381
22/05/2007;369.5;78761;369.5
23/05/2007;368.5;59358;368.5
24/05/2007;376.5;64546;376.5
25/05/2007;376;59977;376
29/05/2007;364.75;66616;364.75
30/05/2007;382.25;103212;382.25
31/05/2007;390.25;101657;390.25
01/06/2007;386.75;70489;386.75
04/06/2007;383.75;51525;383.75
05/06/2007;380.25;87179;380.25
06/06/2007;374.75;78594;374.75
07/06/2007;384.75;76862;384.75
08/06/2007;382;79461;382
11/06/2007;396;99534;396
12/06/2007;393.5;94992;393.5
13/06/2007;404.5;114261;404.5
14/06/2007;409.5;87081;409.5
15/06/2007;419;65519;419
18/06/2007;416;51126;416
19/06/2007;396;74694;396
20/06/2007;394.25;63079;394.25
21/06/2007;385;53631;385
22/06/2007;367.5;69035;367.5
25/06/2007;357.75;46804;357.75
26/06/2007;356.5;39410;356.5
27/06/2007;343.75;30305;343.75
28/06/2007;339.5;32678;339.5
29/06/2007;329.5;18398;329.5
02/07/2007;330.5;12944;330.5
03/07/2007;320;14621;320
05/07/2007;324;9169;324
06/07/2007;334.5;6105;334.5
09/07/2007;332.5;1712;332.5
10/07/2007;338;2649;338
11/07/2007;336;1698;336
12/07/2007;344;1005;344
13/07/2007;341.5;33060;341.5
16/07/2007;334.75;17461;334.75
17/07/2007;322.5;50805;322.5
18/07/2007;327;42783;327
19/07/2007;321.25;27122;321.25
20/07/2007;318.25;28250;318.25
23/07/2007;310;26082;310
24/07/2007;311.5;27978;311.5
25/07/2007;311.5;18794;311.5
26/07/2007;317.5;42394;317.5
27/07/2007;321;23449;321
30/07/2007;323.5;25315;323.5
31/07/2007;325.75;30891;325.75
01/08/2007;319;25569;319
02/08/2007;324;20120;324
03/08/2007;326.5;24814;326.5
06/08/2007;325.75;27710;325.75
07/08/2007;335.25;33438;335.25
08/08/2007;341;58250;341
09/08/2007;332.25;61152;332.25
10/08/2007;333;44512;333
13/08/2007;331;41508;331
14/08/2007;327.5;47755;327.5
15/08/2007;328;27016;328
16/08/2007;321.5;48238;321.5
17/08/2007;328.5;22039;328.5
20/08/2007;331.75;17876;331.75
21/08/2007;338.5;20696;338.5
22/08/2007;347.5;28109;347.5
23/08/2007;345.25;7979;345.25
24/08/2007;341.5;17508;341.5
27/08/2007;335.75;17725;335.75
28/08/2007;327.25;23196;327.25
29/08/2007;322.75;19722;322.75
30/08/2007;322.75;25108;322.75
31/08/2007;324;17760;324
04/09/2007;336.75;7902;336.75
05/09/2007;328.75;13851;328.75
06/09/2007;323.25;14671;323.25
07/09/2007;331.25;9559;331.25
10/09/2007;329.75;6347;329.75
11/09/2007;324.5;7101;324.5
12/09/2007;339.75;4458;339.75
13/09/2007;330.75;3087;330.75
14/09/2007;336.5;52666;336.5
17/09/2007;352.25;48349;352.25
18/09/2007;352.25;68121;352.25
19/09/2007;358.25;65955;358.25
20/09/2007;369.25;114757;369.25
21/09/2007;376.5;60791;376.5
24/09/2007;373.5;89555;373.5
25/09/2007;371.75;65812;371.75
26/09/2007;375;67962;375
27/09/2007;386.75;107139;386.75
28/09/2007;373;115779;373
01/10/2007;368.75;66527;368.75
02/10/2007;348.75;94201;348.75
03/10/2007;344.5;111649;344.5
04/10/2007;342.25;63328;342.25
05/10/2007;342.25;52201;342.25
08/10/2007;339.75;51793;339.75
09/10/2007;342.5;72638;342.5
10/10/2007;347.25;40439;347.25
11/10/2007;343.75;63356;343.75
12/10/2007;351;90955;351
15/10/2007;362;73324;362
16/10/2007;360.5;63523;360.5
17/10/2007;358;65181;358
18/10/2007;367.25;64566;367.25
19/10/2007;370.25;73620;370.25
22/10/2007;364.5;67678;364.5
23/10/2007;361;63626;361
24/10/2007;356.5;62805;356.5
25/10/2007;366.25;59070;366.25
26/10/2007;372;76836;372
29/10/2007;376;76702;376
30/10/2007;370.25;76315;370.25
31/10/2007;375.5;77029;375.5
01/11/2007;368.75;72482;368.75
02/11/2007;377;93632;377
05/11/2007;375.25;75478;375.25
06/11/2007;385.75;104257;385.75
07/11/2007;384.25;138022;384.25
08/11/2007;389.5;86448;389.5
09/11/2007;386.75;124592;386.75
12/11/2007;379;91074;379
13/11/2007;374.75;75180;374.75
14/11/2007;383;76552;383
15/11/2007;374.75;121281;374.75
16/11/2007;379.5;71443;379.5
19/11/2007;377.5;60103;377.5
20/11/2007;381.25;81828;381.25
21/11/2007;382;35892;382
23/11/2007;389;42014;389
26/11/2007;385.75;61077;385.75
27/11/2007;383.5;34931;383.5
28/11/2007;387.25;36755;387.25
29/11/2007;383.5;50763;383.5
30/11/2007;384.5;37211;384.5
03/12/2007;386;25723;386
04/12/2007;394;23373;394
05/12/2007;394;17685;394
06/12/2007;394.75;15869;394.75
07/12/2007;399.5;15056;399.5
10/12/2007;400.5;11858;400.5
11/12/2007;406.5;11367;406.5
12/12/2007;416.75;11674;416.75
13/12/2007;418.75;8114;418.75
14/12/2007;420;72390;420
17/12/2007;438.75;90303;438.75
18/12/2007;432;63135;432
19/12/2007;434.75;62765;434.75
20/12/2007;437.5;48133;437.5
21/12/2007;443.5;66495;443.5
24/12/2007;444;16576;444
26/12/2007;452.25;44885;452.25
27/12/2007;454.75;46167;454.75
28/12/2007;452;43141;452
31/12/2007;455.5;42243;455.5
02/01/2008;462.5;82995;462.5
03/01/2008;466;70759;466
04/01/2008;466.75;71387;466.75
07/01/2008;466.25;65254;466.25
08/01/2008;478.75;86301;478.75
09/01/2008;477.25;77906;477.25
10/01/2008;475;91060;475
11/01/2008;495;91060;495
14/01/2008;512;91060;512
15/01/2008;509;91060;509
16/01/2008;502.5;91060;502.5
17/01/2008;502;91060;502
18/01/2008;498.25;99913;498.25
22/01/2008;489;139381;489
23/01/2008;469.25;162660;469.25
24/01/2008;489.25;116624;489.25
25/01/2008;498.25;126215;498.25
28/01/2008;502.25;91721;502.25
29/01/2008;501;95856;501
30/01/2008;498.5;89969;498.5
31/01/2008;501.25;107158;501.25
01/02/2008;500.5;124049;500.5
04/02/2008;510.5;90090;510.5
05/02/2008;509.25;109290;509.25
06/02/2008;501.5;184644;501.5
07/02/2008;499.5;192244;499.5
08/02/2008;508;197095;508
11/02/2008;503.5;139958;503.5
12/02/2008;497.75;146545;497.75
13/02/2008;497;111991;497
14/02/2008;511;108007;511
15/02/2008;514.75;110936;514.75
19/02/2008;520;128426;520
20/02/2008;523.5;120374;523.5
21/02/2008;524.5;110252;524.5
22/02/2008;522.25;65603;522.25
25/02/2008;533.25;113708;533.25
26/02/2008;530.5;75866;530.5
27/02/2008;525;72140;525
28/02/2008;543.25;110033;543.25
29/02/2008;546;40847;546
03/03/2008;555.5;30123;555.5
04/03/2008;543;27331;543
05/03/2008;557;14329;557
06/03/2008;557;11671;557
07/03/2008;533.5;9314;533.5
10/03/2008;555.5;3850;555.5
11/03/2008;564;3808;564
12/03/2008;556.75;4692;556.75
13/03/2008;559.75;2440;559.75
14/03/2008;545.5;120026;545.5
17/03/2008;539.25;67780;539.25
18/03/2008;547.25;90844;547.25
19/03/2008;527.25;117481;527.25
20/03/2008;507.5;149989;507.5
24/03/2008;524.75;100968;524.75
25/03/2008;544.75;67708;544.75
26/03/2008;552.25;101068;552.25
