age;year;county;count
5 20_24;0;EDWARDS;0
6 20_24;0;FAYETTE;5
7 20_24;0;FORD;0
8 20_24;0;GALLATIN;0
9 20_24;0;GREENE;0
0 20_24;0;HAMILTON;0
1 20_24;0;HANCOCK;11
2 20_24;0;HARDIN;0
0 20_24;1;ALEXANDER;0
1 20_24;1;BROWN;0
2 20_24;1;CALHOUN;0
3 20_24;1;CARROLL;4
4 20_24;1;CASS;0
5 20_24;1;CLARK;3
6 20_24;1;CLAY;0
7 20_24;1;CRAWFORD;7
8 20_24;1;CUMBERLAND;0
9 20_24;1;DE WITT;4
0 20_24;1;DOUGLAS;4
1 20_24;1;EDGAR;7
2 20_24;1;EDWARDS;0
3 20_24;1;FAYETTE;7
4 20_24;1;FORD;0
5 20_24;1;GALLATIN;0
6 20_24;1;GREENE;0
7 20_24;1;HAMILTON;0
8 20_24;1;HANCOCK;3
9 20_24;1;HARDIN;0
7 20_24;2;ALEXANDER;0
8 20_24;2;BROWN;0
9 20_24;2;CALHOUN;0
0 20_24;2;CARROLL;4
1 20_24;2;CASS;0
2 20_24;2;CLARK;2
3 20_24;2;CLAY;0
4 20_24;2;CRAWFORD;3
5 20_24;2;CUMBERLAND;0
6 20_24;2;DE WITT;12
7 20_24;2;DOUGLAS;7
8 20_24;2;EDGAR;5
9 20_24;2;EDWARDS;0
0 20_24;2;FAYETTE;6
1 20_24;2;FORD;0
2 20_24;2;GALLATIN;0
3 20_24;2;GREENE;0
4 20_24;2;HAMILTON;0
5 20_24;2;HANCOCK;8
6 20_24;2;HARDIN;0
4 20_24;3;ALEXANDER;0
5 20_24;3;BROWN;0
6 20_24;3;CALHOUN;0
7 20_24;3;CARROLL;13
8 20_24;3;CASS;0
9 20_24;3;CLARK;8
0 20_24;3;CLAY;0
1 20_24;3;CRAWFORD;6
2 20_24;3;CUMBERLAND;0
3 20_24;3;DE WITT;4
4 20_24;3;DOUGLAS;9
5 20_24;3;EDGAR;5
6 20_24;3;EDWARDS;0
7 20_24;3;FAYETTE;5
8 20_24;3;FORD;0
9 20_24;3;GALLATIN;0
0 20_24;3;GREENE;0
1 20_24;3;HAMILTON;0
2 20_24;3;HANCOCK;6
3 20_24;3;HARDIN;0
1 20_24;4;ALEXANDER;0
2 20_24;4;BROWN;0
3 20_24;4;CALHOUN;0
4 20_24;4;CARROLL;6
5 20_24;4;CASS;0
6 20_24;4;CLARK;5
7 20_24;4;CLAY;0
8 20_24;4;CRAWFORD;4
9 20_24;4;CUMBERLAND;0
0 20_24;4;DE WITT;9
1 20_24;4;DOUGLAS;15
2 20_24;4;EDGAR;6
3 20_24;4;EDWARDS;0
4 20_24;4;FAYETTE;11
5 20_24;4;FORD;0
6 20_24;4;GALLATIN;0
7 20_24;4;GREENE;0
8 20_24;4;HAMILTON;0
9 20_24;4;HANCOCK;9
0 20_24;4;HARDIN;0
8 20_24;5;ALEXANDER;0
9 20_24;5;BROWN;0
0 20_24;5;CALHOUN;0
1 20_24;5;CARROLL;4
2 20_24;5;CASS;0
3 20_24;5;CLARK;2
4 20_24;5;CLAY;0
5 20_24;5;CRAWFORD;13
6 20_24;5;CUMBERLAND;0
7 20_24;5;DE WITT;12
8 20_24;5;DOUGLAS;4
9 20_24;5;EDGAR;11
0 20_24;5;EDWARDS;0
1 20_24;5;FAYETTE;12
2 20_24;5;FORD;0
3 20_24;5;GALLATIN;0
4 20_24;5;GREENE;0
5 20_24;5;HAMILTON;0
6 20_24;5;HANCOCK;13
7 20_24;5;HARDIN;0
5 20_24;6;ALEXANDER;0
6 20_24;6;BROWN;0
7 20_24;6;CALHOUN;0
8 20_24;6;CARROLL;2
9 20_24;6;CASS;0
0 20_24;6;CLARK;1
1 20_24;6;CLAY;0
2 20_24;6;CRAWFORD;6
3 20_24;6;CUMBERLAND;0
4 20_24;6;DE WITT;8
5 20_24;6;DOUGLAS;16
6 20_24;6;EDGAR;5
7 20_24;6;EDWARDS;0
8 20_24;6;FAYETTE;10
9 20_24;6;FORD;0
0 20_24;6;GALLATIN;0
1 20_24;6;GREENE;0
2 20_24;6;HAMILTON;0
3 20_24;6;HANCOCK;11
4 20_24;6;HARDIN;0
2 20_24;7;ALEXANDER;0
3 20_24;7;BROWN;0
4 20_24;7;CALHOUN;0
5 20_24;7;CARROLL;11
6 20_24;7;CASS;0
7 20_24;7;CLARK;6
8 20_24;7;CLAY;0
9 20_24;7;CRAWFORD;8
0 20_24;7;CUMBERLAND;0
1 20_24;7;DE WITT;11
2 20_24;7;DOUGLAS;9
3 20_24;7;EDGAR;5
4 20_24;7;EDWARDS;0
5 20_24;7;FAYETTE;10
6 20_24;7;FORD;0
7 20_24;7;GALLATIN;0
8 20_24;7;GREENE;0
9 20_24;7;HAMILTON;0
0 20_24;7;HANCOCK;12
1 20_24;7;HARDIN;0
9 20_24;8;ALEXANDER;0
0 20_24;8;BROWN;0
1 20_24;8;CALHOUN;0
2 20_24;8;CARROLL;7
3 20_24;8;CASS;0
4 20_24;8;CLARK;8
5 20_24;8;CLAY;0
6 20_24;8;CRAWFORD;10
7 20_24;8;CUMBERLAND;0
8 20_24;8;DE WITT;11
9 20_24;8;DOUGLAS;9
0 20_24;8;EDGAR;6
1 20_24;8;EDWARDS;0
2 20_24;8;FAYETTE;11
3 20_24;8;FORD;0
4 20_24;8;GALLATIN;0
5 20_24;8;GREENE;0
6 20_24;8;HAMILTON;0
7 20_24;8;HANCOCK;9
8 20_24;8;HARDIN;0
6 20_24;9;ALEXANDER;0
7 20_24;9;BROWN;0
8 20_24;9;CALHOUN;0
9 20_24;9;CARROLL;12
0 20_24;9;CASS;0
1 20_24;9;CLARK;8
2 20_24;9;CLAY;0
3 20_24;9;CRAWFORD;11
4 20_24;9;CUMBERLAND;0
5 20_24;9;DE WITT;7
6 20_24;9;DOUGLAS;10
7 20_24;9;EDGAR;7
8 20_24;9;EDWARDS;0
9 20_24;9;FAYETTE;16
0 20_24;9;FORD;0
1 20_24;9;GALLATIN;0
2 20_24;9;GREENE;0
3 20_24;9;HAMILTON;0
4 20_24;9;HANCOCK;4
5 20_24;9;HARDIN;0
