     x  y
281  1 18
282  2 18
283  3 18
284  4 18
285  5 18
286  6 18
287  7 18
288  8 18
289  9 18
290 10 18
291 11 18
292 12 18
293 13 18
294 14 18
295 15 18
296 16 18
297 17 18
298 18 18
299 19 18
300 20 18
301 21 18
302 22 18
303 23 18
304 24 18
305 25 18
306 26 18
307 27 18
308 28 18
309  1 17
310  2 17
311  3 17
312  4 17
313  5 17
314  6 17
315  7 17
316  8 17
317  9 17
318 10 17
319 11 17
320 12 17
321 13 17
322 14 17
323 15 17
324 16 17
325 17 17
326 18 17
327 19 17
328 20 17
329 21 17
330 22 17
331 23 17
332 24 17
333 25 17
334 26 17
335 27 17
336 28 17
337  1 16
338  2 16
339  3 16
340  4 16
341  5 16
342  6 16
343  7 16
344  8 16
345  9 16
346 10 16
347 11 16
348 12 16
349 13 16
350 14 16
351 15 16
352 16 16
353 17 16
354 18 16
355 19 16
356 20 16
357 21 16
358 22 16
359 23 16
360 24 16
361 25 16
362 26 16
363 27 16
364 28 16
365  1 15
366  2 15
367  3 15
368  4 15
369  5 15
370  6 15
371  7 15
372  8 15
373  9 15
374 10 15
375 11 15
376 12 15
377 13 15
378 14 15
379 15 15
380 16 15
381 17 15
382 18 15
383 19 15
384 20 15
385 21 15
386 22 15
387 23 15
388 24 15
389 25 15
390 26 15
391 27 15
392 28 15
393  1 14
394  2 14
395  3 14
396  4 14
397  5 14
398  6 14
399  7 14
400  8 14
401  9 14
402 10 14
403 11 14
404 12 14
405 13 14
406 14 14
407 15 14
408 16 14
409 17 14
410 18 14
411 19 14
412 20 14
413 21 14
414 22 14
415 23 14
416 24 14
417 25 14
418 26 14
419 27 14
420 28 14
421  1 13
422  2 13
423  3 13
424  4 13
425  5 13
426  6 13
427  7 13
428  8 13
429  9 13
430 10 13
431 11 13
432 12 13
433 13 13
434 14 13
435 15 13
436 16 13
437 17 13
438 18 13
439 19 13
440 20 13
441 21 13
442 22 13
443 23 13
444 24 13
445 25 13
446 26 13
447 27 13
448 28 13
449  1 12
450  2 12
451  3 12
452  4 12
453  5 12
454  6 12
455  7 12
456  8 12
457  9 12
458 10 12
459 11 12
460 12 12
461 13 12
462 14 12
463 15 12
464 16 12
465 17 12
466 18 12
467 19 12
468 20 12
469 21 12
470 22 12
471 23 12
472 24 12
473 25 12
474 26 12
475 27 12
476 28 12
477  1 11
478  2 11
479  3 11
480  4 11
481  5 11
482  6 11
483  7 11
484  8 11
485  9 11
486 10 11
487 11 11
488 12 11
489 13 11
490 14 11
491 15 11
492 16 11
493 17 11
494 18 11
495 19 11
496 20 11
497 21 11
498 22 11
499 23 11
500 24 11
501 25 11
502 26 11
503 27 11
504 28 11
505  1 10
506  2 10
507  3 10
508  4 10
509  5 10
510  6 10
511  7 10
512  8 10
513  9 10
514 10 10
515 11 10
516 12 10
517 13 10
518 14 10
519 15 10
520 16 10
521 17 10
522 18 10
523 19 10
524 20 10
525 21 10
526 22 10
527 23 10
528 24 10
529 25 10
530 26 10
531 27 10
532 28 10
533  1  9
534  2  9
535  3  9
536  4  9
537  5  9
538  6  9
539  7  9
540  8  9
541  9  9
542 10  9
543 11  9
544 12  9
545 13  9
546 14  9
547 15  9
548 16  9
549 17  9
550 18  9
551 19  9
552 20  9
553 21  9
554 22  9
555 23  9
556 24  9
557 25  9
558 26  9
559 27  9
560 28  9
561  1  8
562  2  8
563  3  8
564  4  8
565  5  8
566  6  8
567  7  8
568  8  8
569  9  8
570 10  8
571 11  8
572 12  8
573 13  8
574 14  8
575 15  8
576 16  8
577 17  8
578 18  8
579 19  8
580 20  8
581 21  8
582 22  8
583 23  8
584 24  8
585 25  8
586 26  8
587 27  8
588 28  8
589  1  7
590  2  7
591  3  7
592  4  7
593  5  7
594  6  7
595  7  7
596  8  7
597  9  7
598 10  7
599 11  7
600 12  7
601 13  7
602 14  7
603 15  7
604 16  7
605 17  7
606 18  7
607 19  7
608 20  7
609 21  7
610 22  7
611 23  7
612 24  7
613 25  7
614 26  7
615 27  7
616 28  7
617  1  6
618  2  6
619  3  6
620  4  6
621  5  6
622  6  6
623  7  6
624  8  6
625  9  6
626 10  6
627 11  6
628 12  6
629 13  6
630 14  6
631 15  6
632 16  6
633 17  6
634 18  6
635 19  6
636 20  6
637 21  6
638 22  6
639 23  6
640 24  6
641 25  6
642 26  6
643 27  6
644 28  6
645  1  5
646  2  5
647  3  5
648  4  5
649  5  5
650  6  5
651  7  5
652  8  5
653  9  5
654 10  5
655 11  5
656 12  5
657 13  5
658 14  5
659 15  5
660 16  5
661 17  5
662 18  5
663 19  5
664 20  5
665 21  5
666 22  5
667 23  5
668 24  5
669 25  5
670 26  5
671 27  5
672 28  5
673  1  4
674  2  4
675  3  4
676  4  4
677  5  4
678  6  4
679  7  4
680  8  4
681  9  4
682 10  4
683 11  4
684 12  4
685 13  4
686 14  4
687 15  4
688 16  4
689 17  4
690 18  4
691 19  4
692 20  4
693 21  4
694 22  4
695 23  4
696 24  4
697 25  4
698 26  4
699 27  4
700 28  4
701  1  3
702  2  3
703  3  3
704  4  3
705  5  3
706  6  3
707  7  3
708  8  3
709  9  3
710 10  3
711 11  3
712 12  3
713 13  3
714 14  3
715 15  3
716 16  3
717 17  3
718 18  3
719 19  3
720 20  3
721 21  3
722 22  3
723 23  3
724 24  3
725 25  3
726 26  3
727 27  3
728 28  3
729  1  2
730  2  2
731  3  2
732  4  2
733  5  2
734  6  2
735  7  2
736  8  2
737  9  2
738 10  2
739 11  2
740 12  2
741 13  2
742 14  2
743 15  2
744 16  2
745 17  2
746 18  2
747 19  2
748 20  2
749 21  2
750 22  2
751 23  2
752 24  2
753 25  2
754 26  2
755 27  2
756 28  2
757  1  1
758  2  1
759  3  1
760  4  1
761  5  1
762  6  1
763  7  1
764  8  1
765  9  1
766 10  1
767 11  1
768 12  1
769 13  1
770 14  1
771 15  1
772 16  1
773 17  1
774 18  1
775 19  1
776 20  1
777 21  1
778 22  1
779 23  1
780 24  1
781 25  1
782 26  1
783 27  1
784 28  1
