,time_playing,Period,RTNG,GMS,Name,FideID,rtng_diff,ratio
135,38,2010-07-01,2826,10,carlsen,1503014,16.0,0.003538570417551309
137,39,2010-03-01,2813,13,carlsen,1503014,-13.0,0.004621400639886242
136,40,2010-05-01,2813,0,carlsen,1503014,0.0,0.0
133,41,2010-11-01,2802,14,carlsen,1503014,-11.0,0.004996431120628123
134,42,2010-09-01,2826,0,carlsen,1503014,24.0,0.0
132,43,2011-01-01,2814,17,carlsen,1503014,-12.0,0.006041222459132907
129,44,2011-07-01,2821,10,carlsen,1503014,7.0,0.003544842254519674
131,45,2011-03-01,2815,13,carlsen,1503014,-6.0,0.004618117229129663
130,46,2011-05-01,2815,0,carlsen,1503014,0.0,0.0
127,47,2011-11-01,2826,10,carlsen,1503014,11.0,0.003538570417551309
128,48,2011-09-01,2823,10,carlsen,1503014,-3.0,0.003542330853701736
122,49,2012-08-01,2837,0,carlsen,1503014,14.0,0.0
118,50,2012-12-01,2848,0,carlsen,1503014,11.0,0.0
126,51,2012-01-01,2835,17,carlsen,1503014,-13.0,0.00599647266313933
123,52,2012-07-01,2837,9,carlsen,1503014,2.0,0.003172365174480085
125,53,2012-03-01,2835,13,carlsen,1503014,-2.0,0.004585537918871252
124,54,2012-05-01,2835,0,carlsen,1503014,0.0,0.0
119,55,2012-11-01,2848,10,carlsen,1503014,13.0,0.0035112359550561797
120,56,2012-10-01,2843,0,carlsen,1503014,-5.0,0.0
121,57,2012-09-01,2843,10,carlsen,1503014,0.0,0.0035174111853675696
114,58,2013-04-01,2872,0,carlsen,1503014,29.0,0.0
110,59,2013-08-01,2862,0,carlsen,1503014,-10.0,0.0
106,60,2013-12-01,2872,10,carlsen,1503014,10.0,0.003481894150417827
116,61,2013-02-01,2872,13,carlsen,1503014,0.0,0.004526462395543176
117,62,2013-01-01,2861,8,carlsen,1503014,-11.0,0.0027962250961202375
111,63,2013-07-01,2862,9,carlsen,1503014,1.0,0.0031446540880503146
112,64,2013-06-01,2864,9,carlsen,1503014,2.0,0.0031424581005586594
115,65,2013-03-01,2872,0,carlsen,1503014,8.0,0.0
113,66,2013-05-01,2868,14,carlsen,1503014,-4.0,0.0048814504881450485
107,67,2013-11-01,2870,0,carlsen,1503014,2.0,0.0
108,68,2013-10-01,2870,6,carlsen,1503014,0.0,0.0020905923344947735
109,69,2013-09-01,2862,0,carlsen,1503014,-8.0,0.0
102,70,2014-04-01,2881,0,carlsen,1503014,19.0,0.0
98,71,2014-08-01,2877,0,carlsen,1503014,-4.0,0.0
94,72,2014-12-01,2862,11,carlsen,1503014,-15.0,0.003843466107617051
104,73,2014-02-01,2872,0,carlsen,1503014,10.0,0.0
105,74,2014-01-01,2872,0,carlsen,1503014,0.0,0.0
99,75,2014-07-01,2877,9,carlsen,1503014,5.0,0.0031282586027111575
100,76,2014-06-01,2881,10,carlsen,1503014,4.0,0.003471017007983339
103,77,2014-03-01,2881,5,carlsen,1503014,0.0,0.0017355085039916696
101,78,2014-05-01,2882,1,carlsen,1503014,1.0,0.00034698126301179735
95,79,2014-11-01,2863,0,carlsen,1503014,-19.0,0.0
96,80,2014-10-01,2863,10,carlsen,1503014,0.0,0.0034928396786587496
97,81,2014-09-01,2870,9,carlsen,1503014,7.0,0.0031358885017421603
90,82,2015-04-01,2863,0,carlsen,1503014,-7.0,0.0
86,83,2015-08-01,2853,0,carlsen,1503014,-10.0,0.0
82,84,2015-12-01,2834,7,carlsen,1503014,-19.0,0.0024700070571630206
92,85,2015-02-01,2865,13,carlsen,1503014,31.0,0.004537521815008726
93,86,2015-01-01,2862,0,carlsen,1503014,-3.0,0.0
87,87,2015-07-01,2853,9,carlsen,1503014,-9.0,0.0031545741324921135
88,88,2015-06-01,2876,0,carlsen,1503014,23.0,0.0
91,89,2015-03-01,2863,7,carlsen,1503014,-13.0,0.0024449877750611247
89,90,2015-05-01,2876,9,carlsen,1503014,13.0,0.003129346314325452
83,91,2015-11-01,2850,0,carlsen,1503014,-26.0,0.0
84,92,2015-10-01,2850,9,carlsen,1503014,0.0,0.003157894736842105
85,93,2015-09-01,2853,0,carlsen,1503014,3.0,0.0
78,94,2016-04-01,2851,0,carlsen,1503014,-2.0,0.0
74,95,2016-08-01,2857,10,carlsen,1503014,6.0,0.0035001750087504373
70,96,2016-12-01,2840,12,carlsen,1503014,-17.0,0.004225352112676056
80,97,2016-02-01,2844,0,carlsen,1503014,4.0,0.0
81,98,2016-01-01,2844,18,carlsen,1503014,0.0,0.006329113924050633
75,99,2016-07-01,2855,0,carlsen,1503014,11.0,0.0
76,100,2016-06-01,2855,9,carlsen,1503014,0.0,0.0031523642732049035
79,101,2016-03-01,2851,13,carlsen,1503014,-4.0,0.004559803577692038
77,102,2016-05-01,2851,0,carlsen,1503014,0.0,0.0
71,103,2016-11-01,2853,0,carlsen,1503014,2.0,0.0
72,104,2016-10-01,2853,10,carlsen,1503014,0.0,0.0035050823694356818
73,105,2016-09-01,2857,0,carlsen,1503014,4.0,0.0
66,106,2017-04-01,2838,0,carlsen,1503014,-19.0,0.0
62,107,2017-08-01,2822,0,carlsen,1503014,-16.0,0.0
58,108,2017-12-01,2837,0,carlsen,1503014,15.0,0.0
68,109,2017-02-01,2838,13,carlsen,1503014,1.0,0.0045806906272022555
69,110,2017-01-01,2840,0,carlsen,1503014,2.0,0.0
63,111,2017-07-01,2822,9,carlsen,1503014,-18.0,0.0031892274982282067
64,112,2017-06-01,2832,0,carlsen,1503014,10.0,0.0
67,113,2017-03-01,2838,0,carlsen,1503014,6.0,0.0
65,114,2017-05-01,2832,7,carlsen,1503014,-6.0,0.0024717514124293787
59,115,2017-11-01,2837,9,carlsen,1503014,5.0,0.003172365174480085
60,116,2017-10-01,2826,6,carlsen,1503014,-11.0,0.0021231422505307855
61,117,2017-09-01,2827,9,carlsen,1503014,1.0,0.0031835868411743897
54,118,2018-04-01,2843,0,carlsen,1503014,16.0,0.0
50,119,2018-08-01,2842,0,carlsen,1503014,-1.0,0.0
46,120,2018-12-01,2835,12,carlsen,1503014,-7.0,0.004232804232804233
56,121,2018-02-01,2843,13,carlsen,1503014,8.0,0.0045726345409778405
57,122,2018-01-01,2834,9,carlsen,1503014,-9.0,0.003175723359209598
51,123,2018-07-01,2842,8,carlsen,1503014,8.0,0.0028149190710767065
52,124,2018-06-01,2843,0,carlsen,1503014,1.0,0.0
55,125,2018-03-01,2843,0,carlsen,1503014,0.0,0.0
53,126,2018-05-01,2843,18,carlsen,1503014,0.0,0.006331340133661625
47,127,2018-11-01,2835,6,carlsen,1503014,-8.0,0.0021164021164021165
48,128,2018-10-01,2839,0,carlsen,1503014,4.0,0.0
49,129,2018-09-01,2839,19,carlsen,1503014,0.0,0.006692497358224727
42,130,2019-04-01,2845,0,carlsen,1503014,6.0,0.0
38,131,2019-08-01,2882,11,carlsen,1503014,37.0,0.003816793893129771
34,132,2019-12-01,2872,2,carlsen,1503014,-10.0,0.0006963788300835655
44,133,2019-02-01,2845,13,carlsen,1503014,-27.0,0.0045694200351493845
45,134,2019-01-01,2835,0,carlsen,1503014,-10.0,0.0
39,135,2019-07-01,2872,9,carlsen,1503014,37.0,0.0031337047353760445
40,136,2019-06-01,2875,9,carlsen,1503014,3.0,0.003130434782608696
43,137,2019-03-01,2845,0,carlsen,1503014,-30.0,0.0
41,138,2019-05-01,2861,9,carlsen,1503014,16.0,0.0031457532331352674
35,139,2019-11-01,2870,11,carlsen,1503014,9.0,0.003832752613240418
36,140,2019-10-01,2876,0,carlsen,1503014,6.0,0.0
37,141,2019-09-01,2876,11,carlsen,1503014,0.0,0.0038247566063977748
30,142,2020-04-01,2863,1,carlsen,1503014,-13.0,0.00034928396786587494
26,143,2020-08-01,2863,0,carlsen,1503014,0.0,0.0
22,144,2020-12-01,2862,0,carlsen,1503014,-1.0,0.0
32,145,2020-02-01,2862,13,carlsen,1503014,0.0,0.004542278127183787
33,146,2020-01-01,2872,4,carlsen,1503014,10.0,0.001392757660167131
27,147,2020-07-01,2863,0,carlsen,1503014,-9.0,0.0
28,148,2020-06-01,2863,0,carlsen,1503014,0.0,0.0
31,149,2020-03-01,2862,0,carlsen,1503014,-1.0,0.0
29,150,2020-05-01,2863,0,carlsen,1503014,1.0,0.0
23,151,2020-11-01,2862,10,carlsen,1503014,-1.0,0.0034940600978336828
24,152,2020-10-01,2863,0,carlsen,1503014,1.0,0.0
25,153,2020-09-01,2863,0,carlsen,1503014,0.0,0.0
18,154,2021-04-01,2847,0,carlsen,1503014,-16.0,0.0
14,155,2021-08-01,2847,0,carlsen,1503014,0.0,0.0
10,156,2021-12-01,2856,1,carlsen,1503014,9.0,0.00035014005602240897
20,157,2021-02-01,2862,0,carlsen,1503014,6.0,0.0
21,158,2021-01-01,2862,0,carlsen,1503014,0.0,0.0
15,159,2021-07-01,2847,0,carlsen,1503014,-15.0,0.0
16,160,2021-06-01,2847,0,carlsen,1503014,0.0,0.0
19,161,2021-03-01,2847,13,carlsen,1503014,0.0,0.0045662100456621
17,162,2021-05-01,2847,0,carlsen,1503014,0.0,0.0
11,163,2021-11-01,2855,0,carlsen,1503014,8.0,0.0
12,164,2021-10-01,2855,13,carlsen,1503014,0.0,0.004553415061295972
13,165,2021-09-01,2855,14,carlsen,1503014,0.0,0.004903677758318739
6,166,2022-04-01,2864,0,carlsen,1503014,9.0,0.0
2,167,2022-08-01,2864,0,carlsen,1503014,0.0,0.0
8,168,2022-02-01,2865,0,carlsen,1503014,1.0,0.0
9,169,2022-01-01,2865,11,carlsen,1503014,0.0,0.0038394415357766143
3,170,2022-07-01,2864,9,carlsen,1503014,-1.0,0.0031424581005586594
4,171,2022-06-01,2864,0,carlsen,1503014,0.0,0.0
7,172,2022-03-01,2864,13,carlsen,1503014,0.0,0.004539106145251397
5,173,2022-05-01,2864,0,carlsen,1503014,0.0,0.0
0,174,2022-10-01,2856,3,carlsen,1503014,-8.0,0.0010504201680672268
1,175,2022-09-01,2861,9,carlsen,1503014,5.0,0.0031457532331352674
162,1,2004-04-01,2230,0,ding,8603677,0.0,0.0
163,2,2004-01-01,2230,22,ding,8603677,0.0,0.009865470852017937
161,3,2004-07-01,2231,4,ding,8603677,1.0,0.0017929179740026895
160,4,2004-10-01,2231,0,ding,8603677,0.0,0.0
158,5,2005-04-01,2270,0,ding,8603677,39.0,0.0
159,6,2005-01-01,2270,8,ding,8603677,0.0,0.003524229074889868
157,7,2005-07-01,2270,0,ding,8603677,0.0,0.0
156,8,2005-10-01,2289,7,ding,8603677,19.0,0.0030581039755351682
154,9,2006-04-01,2289,0,ding,8603677,0.0,0.0
155,10,2006-01-01,2289,0,ding,8603677,0.0,0.0
153,11,2006-07-01,2289,0,ding,8603677,0.0,0.0
152,12,2006-10-01,2289,0,ding,8603677,0.0,0.0
150,13,2007-04-01,2289,0,ding,8603677,0.0,0.0
151,14,2007-01-01,2289,0,ding,8603677,0.0,0.0
149,15,2007-07-01,2289,0,ding,8603677,0.0,0.0
148,16,2007-10-01,2395,22,ding,8603677,106.0,0.00918580375782881
146,17,2008-04-01,2395,0,ding,8603677,0.0,0.0
147,18,2008-01-01,2395,0,ding,8603677,0.0,0.0
145,19,2008-07-01,2439,12,ding,8603677,44.0,0.004920049200492005
144,20,2008-10-01,2446,5,ding,8603677,7.0,0.002044153720359771
142,21,2009-04-01,2458,15,ding,8603677,12.0,0.006102522375915379
143,22,2009-01-01,2446,0,ding,8603677,-12.0,0.0
141,23,2009-07-01,2530,32,ding,8603677,84.0,0.012648221343873518
139,24,2009-11-01,2566,19,ding,8603677,36.0,0.0074045206547155105
140,25,2009-09-01,2530,0,ding,8603677,-36.0,0.0
138,26,2010-01-01,2565,3,ding,8603677,35.0,0.0011695906432748538
135,27,2010-07-01,2574,35,ding,8603677,9.0,0.013597513597513598
137,28,2010-03-01,2565,0,ding,8603677,-9.0,0.0
136,29,2010-05-01,2547,4,ding,8603677,-18.0,0.0015704750687082843
133,30,2010-11-01,2604,15,ding,8603677,57.0,0.00576036866359447
134,31,2010-09-01,2570,2,ding,8603677,-34.0,0.0007782101167315176
132,32,2011-01-01,2628,18,ding,8603677,58.0,0.00684931506849315
129,33,2011-07-01,2655,15,ding,8603677,27.0,0.005649717514124294
131,34,2011-03-01,2637,9,ding,8603677,-18.0,0.0034129692832764505
130,35,2011-05-01,2665,34,ding,8603677,28.0,0.01275797373358349
127,36,2011-11-01,2660,11,ding,8603677,-5.0,0.004135338345864661
128,37,2011-09-01,2660,10,ding,8603677,0.0,0.0037593984962406013
122,38,2012-08-01,2695,20,ding,8603677,35.0,0.0074211502782931356
118,39,2012-12-01,2702,0,ding,8603677,7.0,0.0
126,40,2012-01-01,2660,6,ding,8603677,-42.0,0.002255639097744361
123,41,2012-07-01,2680,22,ding,8603677,20.0,0.008208955223880597
125,42,2012-03-01,2660,0,ding,8603677,-20.0,0.0
124,43,2012-05-01,2679,18,ding,8603677,19.0,0.006718924972004479
119,44,2012-11-01,2702,14,ding,8603677,23.0,0.0051813471502590676
120,45,2012-10-01,2702,14,ding,8603677,0.0,0.0051813471502590676
121,46,2012-09-01,2694,13,ding,8603677,-8.0,0.004825538233110616
114,47,2013-04-01,2707,0,ding,8603677,13.0,0.0
110,48,2013-08-01,2718,10,ding,8603677,11.0,0.003679175864606328
106,49,2013-12-01,2710,3,ding,8603677,-8.0,0.001107011070110701
116,50,2013-02-01,2709,0,ding,8603677,-1.0,0.0
117,51,2013-01-01,2709,4,ding,8603677,0.0,0.0014765596160944998
111,52,2013-07-01,2714,9,ding,8603677,5.0,0.003316138540899042
112,53,2013-06-01,2702,9,ding,8603677,-12.0,0.0033308660251665434
115,54,2013-03-01,2707,10,ding,8603677,5.0,0.003694126339120798
113,55,2013-05-01,2707,0,ding,8603677,0.0,0.0
107,56,2013-11-01,2711,6,ding,8603677,4.0,0.0022132054592401327
108,57,2013-10-01,2722,0,ding,8603677,11.0,0.0
109,58,2013-09-01,2722,10,ding,8603677,0.0,0.0036737692872887582
102,59,2014-04-01,2710,20,ding,8603677,-12.0,0.007380073800738007
98,60,2014-08-01,2742,13,ding,8603677,32.0,0.004741064916119621
94,61,2014-12-01,2732,7,ding,8603677,-10.0,0.002562225475841874
104,62,2014-02-01,2717,0,ding,8603677,-15.0,0.0
105,63,2014-01-01,2717,9,ding,8603677,0.0,0.003312476996687523
99,64,2014-07-01,2726,10,ding,8603677,9.0,0.003668378576669112
100,65,2014-06-01,2714,0,ding,8603677,-12.0,0.0
103,66,2014-03-01,2717,0,ding,8603677,3.0,0.0
101,67,2014-05-01,2714,4,ding,8603677,-3.0,0.0014738393515106854
95,68,2014-11-01,2730,0,ding,8603677,16.0,0.0
96,69,2014-10-01,2730,14,ding,8603677,0.0,0.005128205128205128
97,70,2014-09-01,2754,10,ding,8603677,24.0,0.0036310820624546117
90,71,2015-04-01,2751,8,ding,8603677,-3.0,0.0029080334423845873
86,72,2015-08-01,2770,17,ding,8603677,19.0,0.006137184115523465
82,73,2015-12-01,2776,6,ding,8603677,6.0,0.002161383285302594
92,74,2015-02-01,2755,13,ding,8603677,-21.0,0.004718693284936479
93,75,2015-01-01,2732,16,ding,8603677,-23.0,0.005856515373352855
87,76,2015-07-01,2749,3,ding,8603677,17.0,0.0010913059294288831
88,77,2015-06-01,2749,11,ding,8603677,0.0,0.004001455074572572
91,78,2015-03-01,2755,0,ding,8603677,6.0,0.0
89,79,2015-05-01,2757,9,ding,8603677,2.0,0.003264417845484222
83,80,2015-11-01,2781,8,ding,8603677,24.0,0.002876663070837828
84,81,2015-10-01,2782,0,ding,8603677,1.0,0.0
85,82,2015-09-01,2782,5,ding,8603677,0.0,0.0017972681524083393
78,83,2016-04-01,2777,0,ding,8603677,-5.0,0.0
74,84,2016-08-01,2755,16,ding,8603677,-22.0,0.005807622504537205
70,85,2016-12-01,2757,8,ding,8603677,2.0,0.0029017047515415306
80,86,2016-02-01,2766,0,ding,8603677,9.0,0.0
81,87,2016-01-01,2766,6,ding,8603677,0.0,0.0021691973969631237
75,88,2016-07-01,2778,3,ding,8603677,12.0,0.0010799136069114472
76,89,2016-06-01,2783,4,ding,8603677,5.0,0.001437297879985627
79,90,2016-03-01,2777,13,ding,8603677,-6.0,0.004681310767014764
77,91,2016-05-01,2778,4,ding,8603677,1.0,0.0014398848092152627
71,92,2016-11-01,2764,0,ding,8603677,-14.0,0.0
72,93,2016-10-01,2764,14,ding,8603677,0.0,0.005065123010130246
73,94,2016-09-01,2753,9,ding,8603677,-11.0,0.0032691609153650564
66,95,2017-04-01,2759,0,ding,8603677,6.0,0.0
62,96,2017-08-01,2777,13,ding,8603677,18.0,0.004681310767014764
58,97,2017-12-01,2777,12,ding,8603677,0.0,0.004321209938782859
68,98,2017-02-01,2760,0,ding,8603677,-17.0,0.0
69,99,2017-01-01,2760,4,ding,8603677,0.0,0.0014492753623188406
63,100,2017-07-01,2781,8,ding,8603677,21.0,0.002876663070837828
64,101,2017-06-01,2783,10,ding,8603677,2.0,0.0035932446999640674
67,102,2017-03-01,2759,9,ding,8603677,-24.0,0.0032620514679231605
65,103,2017-05-01,2773,14,ding,8603677,14.0,0.005048683736025965
59,104,2017-11-01,2774,7,ding,8603677,1.0,0.0025234318673395817
60,105,2017-10-01,2772,16,ding,8603677,-2.0,0.005772005772005772
61,106,2017-09-01,2771,8,ding,8603677,-1.0,0.00288704438830747
54,107,2018-04-01,2778,14,ding,8603677,7.0,0.005039596832253419
50,108,2018-08-01,2797,0,ding,8603677,19.0,0.0
46,109,2018-12-01,2813,10,ding,8603677,16.0,0.0035549235691432635
56,110,2018-02-01,2769,0,ding,8603677,-44.0,0.0
57,111,2018-01-01,2769,4,ding,8603677,0.0,0.001444564824846515
51,112,2018-07-01,2797,3,ding,8603677,28.0,0.0010725777618877368
52,113,2018-06-01,2798,3,ding,8603677,1.0,0.001072194424588992
55,114,2018-03-01,2769,0,ding,8603677,-29.0,0.0
53,115,2018-05-01,2791,11,ding,8603677,22.0,0.003941239699032604
47,116,2018-11-01,2816,14,ding,8603677,25.0,0.004971590909090909
48,117,2018-10-01,2804,0,ding,8603677,-12.0,0.0
49,118,2018-09-01,2804,4,ding,8603677,0.0,0.0014265335235378032
42,119,2019-04-01,2809,8,ding,8603677,5.0,0.002847988608045568
38,120,2019-08-01,2805,19,ding,8603677,-4.0,0.006773618538324421
34,121,2019-12-01,2801,0,ding,8603677,-4.0,0.0
44,122,2019-02-01,2812,13,ding,8603677,11.0,0.004623044096728307
45,123,2019-01-01,2813,0,ding,8603677,1.0,0.0
39,124,2019-07-01,2812,9,ding,8603677,-1.0,0.003200568990042674
40,125,2019-06-01,2805,0,ding,8603677,-7.0,0.0
43,126,2019-03-01,2812,0,ding,8603677,7.0,0.0
41,127,2019-05-01,2805,19,ding,8603677,-7.0,0.006773618538324421
35,128,2019-11-01,2801,16,ding,8603677,-4.0,0.005712245626561942
36,129,2019-10-01,2811,0,ding,8603677,10.0,0.0
37,130,2019-09-01,2811,11,ding,8603677,0.0,0.003913198150124511
30,131,2020-04-01,2791,7,ding,8603677,-20.0,0.0025080616266571123
26,132,2020-08-01,2791,0,ding,8603677,0.0,0.0
22,133,2020-12-01,2791,0,ding,8603677,0.0,0.0
32,134,2020-02-01,2805,0,ding,8603677,14.0,0.0
33,135,2020-01-01,2805,4,ding,8603677,0.0,0.00142602495543672
27,136,2020-07-01,2791,0,ding,8603677,-14.0,0.0
28,137,2020-06-01,2791,0,ding,8603677,0.0,0.0
31,138,2020-03-01,2805,0,ding,8603677,14.0,0.0
29,139,2020-05-01,2791,0,ding,8603677,-14.0,0.0
23,140,2020-11-01,2791,0,ding,8603677,0.0,0.0
24,141,2020-10-01,2791,0,ding,8603677,0.0,0.0
25,142,2020-09-01,2791,0,ding,8603677,0.0,0.0
18,143,2021-04-01,2791,0,ding,8603677,0.0,0.0
14,144,2021-08-01,2799,0,ding,8603677,8.0,0.0
10,145,2021-12-01,2799,4,ding,8603677,0.0,0.0014290818149339049
20,146,2021-02-01,2791,0,ding,8603677,-8.0,0.0
21,147,2021-01-01,2791,0,ding,8603677,0.0,0.0
15,148,2021-07-01,2799,0,ding,8603677,8.0,0.0
16,149,2021-06-01,2799,0,ding,8603677,0.0,0.0
19,150,2021-03-01,2791,0,ding,8603677,-8.0,0.0
17,151,2021-05-01,2799,7,ding,8603677,8.0,0.002500893176134334
11,152,2021-11-01,2799,0,ding,8603677,0.0,0.0
12,153,2021-10-01,2799,0,ding,8603677,0.0,0.0
13,154,2021-09-01,2799,0,ding,8603677,0.0,0.0
6,155,2022-04-01,2799,0,ding,8603677,0.0,0.0
2,156,2022-08-01,2808,14,ding,8603677,9.0,0.004985754985754986
8,157,2022-02-01,2799,0,ding,8603677,-9.0,0.0
9,158,2022-01-01,2799,0,ding,8603677,0.0,0.0
3,159,2022-07-01,2806,0,ding,8603677,7.0,0.0
4,160,2022-06-01,2806,0,ding,8603677,0.0,0.0
7,161,2022-03-01,2799,0,ding,8603677,-7.0,0.0
5,162,2022-05-01,2806,28,ding,8603677,7.0,0.009978617248752673
0,163,2022-10-01,2811,9,ding,8603677,5.0,0.0032017075773745998
1,164,2022-09-01,2808,0,ding,8603677,-3.0,0.0
173,1,2001-07-01,2243,9,nepo,4168119,0.0,0.004012483281319661
172,2,2001-10-01,2281,13,nepo,4168119,38.0,0.005699254712845244
170,3,2002-04-01,2280,0,nepo,4168119,-1.0,0.0
171,4,2002-01-01,2280,4,nepo,4168119,0.0,0.0017543859649122807
169,5,2002-07-01,2306,9,nepo,4168119,26.0,0.0039028620988725065
168,6,2002-10-01,2344,8,nepo,4168119,38.0,0.0034129692832764505
166,7,2003-04-01,2419,18,nepo,4168119,75.0,0.007441091360066143
167,8,2003-01-01,2368,13,nepo,4168119,-51.0,0.005489864864864865
165,9,2003-07-01,2432,19,nepo,4168119,64.0,0.0078125
164,10,2003-10-01,2447,20,nepo,4168119,15.0,0.008173273395995096
162,11,2004-04-01,2445,20,nepo,4168119,-2.0,0.0081799591002045
163,12,2004-01-01,2433,28,nepo,4168119,-12.0,0.011508425811755036
161,13,2004-07-01,2476,19,nepo,4168119,43.0,0.007673667205169628
160,14,2004-10-01,2492,26,nepo,4168119,16.0,0.01043338683788122
158,15,2005-04-01,2505,13,nepo,4168119,13.0,0.005189620758483034
159,16,2005-01-01,2483,11,nepo,4168119,-22.0,0.004430124848973017
157,17,2005-07-01,2502,22,nepo,4168119,19.0,0.008792965627498001
156,18,2005-10-01,2519,20,nepo,4168119,17.0,0.007939658594680429
154,19,2006-04-01,2506,18,nepo,4168119,-13.0,0.007182761372705506
155,20,2006-01-01,2506,11,nepo,4168119,0.0,0.004389465283320032
153,21,2006-07-01,2525,26,nepo,4168119,19.0,0.010297029702970298
152,22,2006-10-01,2545,9,nepo,4168119,20.0,0.003536345776031434
150,23,2007-04-01,2602,22,nepo,4168119,57.0,0.008455034588777863
151,24,2007-01-01,2587,36,nepo,4168119,-15.0,0.013915732508697333
149,25,2007-07-01,2613,30,nepo,4168119,26.0,0.011481056257175661
148,26,2007-10-01,2611,11,nepo,4168119,-2.0,0.004212945231711987
146,27,2008-04-01,2634,22,nepo,4168119,23.0,0.008352315869400152
147,28,2008-01-01,2600,11,nepo,4168119,-34.0,0.004230769230769231
145,29,2008-07-01,2602,18,nepo,4168119,2.0,0.006917755572636433
144,30,2008-10-01,2616,18,nepo,4168119,14.0,0.006880733944954129
142,31,2009-04-01,2624,35,nepo,4168119,8.0,0.013338414634146341
143,32,2009-01-01,2628,8,nepo,4168119,4.0,0.0030441400304414
141,33,2009-07-01,2632,15,nepo,4168119,4.0,0.0056990881458966565
139,34,2009-11-01,2626,22,nepo,4168119,-6.0,0.008377760853008377
140,35,2009-09-01,2632,0,nepo,4168119,6.0,0.0
138,36,2010-01-01,2658,10,nepo,4168119,26.0,0.003762227238525207
135,37,2010-07-01,2706,20,nepo,4168119,48.0,0.007390983000739098
137,38,2010-03-01,2656,18,nepo,4168119,-50.0,0.00677710843373494
136,39,2010-05-01,2695,20,nepo,4168119,39.0,0.0074211502782931356
133,40,2010-11-01,2720,26,nepo,4168119,25.0,0.009558823529411765
134,41,2010-09-01,2706,0,nepo,4168119,-14.0,0.0
132,42,2011-01-01,2733,11,nepo,4168119,27.0,0.00402488108305891
129,43,2011-07-01,2711,0,nepo,4168119,-22.0,0.0
131,44,2011-03-01,2729,13,nepo,4168119,18.0,0.004763649688530597
130,45,2011-05-01,2711,20,nepo,4168119,-18.0,0.0073773515308004425
127,46,2011-11-01,2730,11,nepo,4168119,19.0,0.00402930402930403
128,47,2011-09-01,2718,16,nepo,4168119,-12.0,0.005886681383370125
122,48,2012-08-01,2704,16,nepo,4168119,-14.0,0.005917159763313609
118,49,2012-12-01,2707,0,nepo,4168119,3.0,0.0
126,50,2012-01-01,2735,16,nepo,4168119,28.0,0.005850091407678245
