id;member_id;loan_amnt;funded_amnt;funded_amnt_inv;term;int_rate;installment;grade;sub_grade;annual_inc;verification_status;issue_d;loan_status;pymnt_plan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51936863;55366596;32000;32000;31950;60 months;21.99;883.63;F;F1;81000;Verified;jul/15;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1178593;1420155;15000;15000;14850;36 months;13.67;510.27;B;B5;75000;Verified;mar/12;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57315811;61018591;14000;14000;14000;60 months;14.65;330.5;C;C5;150000;Source Verified;Aug-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5705168;7117305;6500;6500;6500;36 months;10.16;210.23;B;B1;60000;Not Verified;jun/13;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46024211;49131931;12875;12875;12875;60 months;18.84;332.86;E;E2;43000;Source Verified;Apr-2015;Default;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12947039;14979227;15000;15000;15000;36 months;11.99;498.15;B;B3;237510;Verified;Apr-2014;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57345207;61047951;6000;6000;6000;36 months;10.99;196.41;B;B4;37526;Source Verified;Aug-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55299831;58870584;11000;11000;11000;60 months;12.69;248.55;C;C2;49000;Source Verified;jul/15;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28763037;31296172;5000;5000;5000;36 months;13.35;169.32;C;C2;29000;Source Verified;Oct-2014;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49763149;53091862;24000;24000;23975;36 months;12.29;800.48;C;C1;98000;Source Verified;May-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20077511;22340219;18000;18000;18000;36 months;12.99;606.41;C;C1;95000;Source Verified;jul/14;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60216198;64192954;12000;12000;12000;60 months;12.69;271.14;C;C2;41000;Not Verified;Sep-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12295190;14287333;12000;12000;12000;60 months;14.64;283.22;C;C3;65000;Verified;Feb-2014;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1570287;1837878;9600;9600;9600;36 months;12.12;319.41;B;B3;30000;Verified;Oct-2012;Charged Off;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61408414;65527131;10000;10000;10000;60 months;12.29;223.92;C;C1;70000;Not Verified;Oct-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59121340;63009125;15000;15000;15000;36 months;9.99;483.94;B;B3;55800;Verified;Sep-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32349527;34962796;6000;6000;6000;36 months;11.67;198.35;B;B4;54080;Not Verified;Oct-2014;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5773180;7204959;10975;10975;10975;36 months;7.62;342;A;A3;33862;Not Verified;jun/13;Charged Off;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26899704;29382716;16900;16900;16900;36 months;19.52;623.94;E;E2;47000;Verified;Sep-2014;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55412161;59013921;5000;5000;5000;36 months;9.99;161.32;B;B3;40000;Not Verified;jul/15;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2217935;2630383;14000;14000;14000;36 months;15.8;490.82;C;C3;60000;Not Verified;nov/12;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16462713;18545168;6500;6500;6500;36 months;11.67;214.87;B;B4;44000;Source Verified;May-2014;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9196065;11058126;7000;7000;7000;36 months;6.62;214.93;A;A2;40500;Source Verified;Dec-2013;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27802028;30305141;9250;9250;9250;36 months;14.99;320.61;C;C5;70000;Source Verified;Oct-2014;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40949245;43824967;7200;7200;7200;36 months;17.57;258.75;D;D4;88000;Source Verified;Feb-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56007625;59669346;18550;18550;18550;36 months;8.18;582.84;B;B1;68000;Not Verified;Aug-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56935379;60648139;13000;13000;13000;36 months;5.32;391.5;A;A1;94000;Source Verified;Aug-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62187473;66384252;7600;7600;7600;36 months;8.18;238.79;B;B1;40000;Not Verified;Oct-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20178048;22440844;10975;10975;10975;36 months;11.67;362.8;B;B4;51000;Source Verified;jul/14;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604912;776022;6500;6500;6496.808;36 months;6.17;198.25;A;A3;48000;Source Verified;nov/10;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58533358;62374105;6000;6000;6000;36 months;10.99;196.41;B;B4;126000;Source Verified;Aug-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
652594;834610;8400;8400;8400;60 months;10.37;180.01;B;B3;31000;Not Verified;jan/11;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44066849;47083624;25000;25000;25000;36 months;15.61;874.12;D;D1;136000;Source Verified;Apr-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38942161;41725873;35000;35000;35000;36 months;9.49;1120.99;B;B2;150000;Verified;jan/15;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6414816;7946951;3000;3000;3000;36 months;6.62;92.12;A;A2;60000;Verified;Aug-2013;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65617953;70240791;15000;15000;15000;36 months;13.18;506.72;C;C3;150000;Verified;Dec-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51816492;55246209;24000;24000;24000;60 months;9.99;509.82;B;B3;86000;Source Verified;jun/15;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43489983;46516730;11000;11000;11000;36 months;10.99;360.08;B;B4;60000;Source Verified;mar/15;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6794967;7638207;20000;20000;19950;60 months;9.71;422.1;B;B1;96000;Verified;Aug-2013;Late (31-120 days);n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42345315;45272112;8875;8875;8875;36 months;18.25;321.97;E;E1;35000;Not Verified;mar/15;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59532019;63465767;12000;12000;12000;36 months;8.18;377.04;B;B1;165000;Source Verified;Sep-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13107597;15129764;8000;8000;8000;36 months;9.67;256.9;B;B1;31200;Source Verified;mar/14;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63249029;67600873;1600;1600;1600;36 months;13.33;54.17;C;C3;50000;Verified;Oct-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7371829;9033750;17000;17000;16950;36 months;9.99;548.47;B;B1;70000;Verified;Sep-2013;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12335467;14327625;10975;10975;10975;36 months;13.65;373.24;C;C1;25000;Not Verified;mar/14;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8560739;10312163;10300;10300;10300;36 months;14.3;353.54;C;C1;76000;Verified;nov/13;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7337238;8999301;8875;8875;8875;36 months;12.99;299;B;B4;33000;Source Verified;Oct-2013;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
887484;1103644;8800;8800;8775;36 months;6.62;270.2;A;A2;48000;Verified;Sep-2011;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23493355;25846260;12000;12000;12000;60 months;15.61;289.34;D;D1;100000;Source Verified;Aug-2014;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41031080;43906881;10850;10850;10850;60 months;16.99;269.6;D;D3;48963.2;Verified;Feb-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60537197;64557995;7000;7000;7000;36 months;7.26;216.98;A;A4;40000;Source Verified;Sep-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12816159;14838288;13575;13575;13575;60 months;21.99;374.85;E;E4;50000;Source Verified;Apr-2014;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38446687;41230498;26375;26375;26375;60 months;16.49;648.28;D;D3;89685;Verified;jan/15;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51026618;54426374;21000;21000;21000;36 months;15.61;734.27;D;D1;74850;Source Verified;jun/15;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6374688;7906839;3200;3200;3200;36 months;18.25;116.09;D;D2;120000;Not Verified;Aug-2013;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18685270;20857942;10000;10000;10000;60 months;18.24;255.25;D;D5;80000;Source Verified;jun/14;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
296645;296642;13000;13000;10099.997;36 months;14.18;445.45;E;E1;36000;Not Verified;Apr-2008;Does not meet the credit policy. Status:Charged Off;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44439325;47487045;3600;3600;3600;36 months;8.18;113.12;B;B1;50000;Not Verified;Apr-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4915968;6208125;12000;12000;12000;60 months;22.7;336.23;E;E5;98722;Verified;jul/13;Charged Off;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63449566;67792404;6100;6100;6100;36 months;8.18;191.66;B;B1;40000;Not Verified;Oct-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25256236;27709157;10000;10000;10000;36 months;6.03;304.36;A;A1;75000;Not Verified;Aug-2014;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63407874;67750669;12000;12000;12000;36 months;9.99;387.15;B;B3;58000;Source Verified;Oct-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36753301;39496031;28000;28000;28000;60 months;11.99;622.71;B;B5;104000;Source Verified;Dec-2014;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20728660;23001470;11500;11500;11500;60 months;22.15;318.6;E;E5;38500;Source Verified;jul/14;In Grace Period;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7937228;9659225;8500;8500;8500;36 months;11.99;282.29;B;B3;63000;Verified;nov/13;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13058684;15090814;22000;22000;22000;60 months;20.49;588.88;E;E2;60000;Source Verified;Apr-2014;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
636359;815213;20000;20000;19475;36 months;6.91;616.72;A;A5;110000;Verified;Dec-2010;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50527238;53907031;6175;6175;6175;36 months;12.69;207.14;C;C2;58000;Source Verified;jun/15;Late (31-120 days);n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40450502;43315235;10000;10000;10000;36 months;6.03;304.36;A;A1;54000;Not Verified;jan/15;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1018943;1247408;8000;8000;8000;36 months;7.9;250.33;A;A4;64000;Verified;Dec-2011;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12438198;14450330;33500;33500;33500;60 months;18.25;855.25;D;D3;67000;Source Verified;mar/14;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3065732;3738131;9500;9500;9475;36 months;12.12;316.09;B;B3;93570;Not Verified;jan/13;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1510626;1772415;20000;20000;20000;60 months;23.28;567.04;F;F2;70000;Verified;Sep-2012;Charged Off;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5764344;7196107;28000;28000;28000;36 months;7.62;872.52;A;A3;93000;Source Verified;jul/13;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37840363;40603103;5000;5000;5000;36 months;12.99;168.45;C;C2;35000;Not Verified;Dec-2014;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27460227;29953300;15000;15000;15000;36 months;18.99;549.77;E;E1;48000;Verified;Sep-2014;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39751366;42575167;15600;15600;15600;60 months;14.31;365.5;C;C4;50000;Source Verified;jan/15;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5028066;1251847;21100;21100;21100;36 months;13.11;712.07;B;B4;60000;Verified;May-2013;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43956700;46973473;16000;16000;16000;36 months;12.29;533.65;C;C1;97000;Source Verified;mar/15;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56109033;59770797;9000;9000;9000;36 months;14.65;310.45;C;C5;32000;Verified;jul/15;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1412622;1662291;10000;10000;10000;36 months;13.11;337.47;B;B4;70000;Not Verified;jul/12;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44289534;47337259;30000;30000;30000;36 months;6.92;925.22;A;A4;120000;Verified;Apr-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41770436;44717163;23000;23000;23000;60 months;9.17;479.35;B;B2;93000;Source Verified;mar/15;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49956562;53325389;21000;21000;21000;36 months;13.33;710.92;C;C3;73000;Verified;jun/15;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44409121;47416834;7100;7100;7100;36 months;14.65;244.91;C;C5;50000;Source Verified;Apr-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47168726;50377488;10000;10000;10000;60 months;13.33;229.23;C;C3;96000;Source Verified;May-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60953428;64995231;7850;7850;7850;36 months;12.29;261.83;C;C1;74000;Source Verified;Oct-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52189251;55648964;17600;17600;17600;60 months;19.19;458.4;E;E3;40000;Source Verified;jun/15;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64281487;68751220;24000;24000;24000;60 months;18.49;615.86;E;E2;120000;Verified;nov/15;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51928150;55357908;6000;6000;6000;36 months;12.69;201.27;C;C2;50000;Source Verified;jun/15;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002880;1229163;16000;16000;16000;36 months;14.65;551.91;C;C3;56033;Verified;Oct-2011;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4537354;5779652;35000;35000;35000;60 months;17.27;874.93;C;C5;130000;Verified;May-2013;Late (31-120 days);n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12605849;14618005;9600;9600;9600;36 months;7.9;300.39;A;A4;140000;Source Verified;mar/14;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
477843;606418;4000;4000;4000;36 months;13.57;135.88;C;C3;81600;Not Verified;jan/10;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6808167;8430189;12000;12000;11950;60 months;8.9;248.52;A;A5;80000;Verified;Sep-2013;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38629237;41413151;20625;20625;20625;36 months;17.14;736.78;D;D4;50000;Source Verified;jan/15;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33311208;35954495;12600;12600;12600;36 months;6.49;386.13;A;A2;40000;Not Verified;nov/14;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36109419;38821050;12075;12075;12075;36 months;15.99;424.47;D;D2;33600;Source Verified;Dec-2014;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58593881;62434667;10800;10800;10800;60 months;17.57;271.73;D;D4;32000;Verified;Aug-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40362979;43227807;25000;25000;25000;60 months;11.99;555.99;B;B5;110000;Verified;Feb-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
440300;533116;12000;12000;11875;36 months;12.53;401.6;B;B5;174000;Source Verified;Sep-2009;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9848361;11700179;25000;25000;24925;36 months;7.62;779.04;A;A3;80000;Verified;Dec-2013;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30656060;33209259;23375;23375;23375;36 months;12.49;781.87;B;B5;58451.07;Source Verified;Oct-2014;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15691500;17783884;10000;10000;10000;36 months;14.49;344.17;C;C4;47780;Source Verified;May-2014;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4375269;5607466;18250;18250;18250;36 months;6.03;555.45;A;A1;90000;Source Verified;Apr-2013;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15360849;17433208;7000;7000;7000;36 months;17.57;251.56;D;D2;32000;Not Verified;May-2014;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7077904;8740006;4150;4150;4150;36 months;18.25;150.56;D;D2;130858;Source Verified;Sep-2013;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66076532;70771297;12000;12000;12000;36 months;9.17;382.55;B;B2;89000;Verified;Dec-2015;In Grace Period;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33350264;35993495;5000;5000;5000;36 months;7.69;155.97;A;A4;85000;Not Verified;Oct-2014;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4175651;5317904;20000;20000;20000;60 months;15.8;484.24;C;C3;82352;Verified;Apr-2013;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44006939;47023694;11200;11200;11200;36 months;11.53;369.5;B;B5;61000;Verified;Apr-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21130605;23413331;14700;14700;14700;60 months;14.49;345.79;C;C4;35000;Source Verified;Aug-2014;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54098234;57639000;12000;12000;12000;36 months;12.69;402.54;C;C2;57000;Source Verified;jul/15;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53192890;56712652;12000;12000;12000;60 months;8.18;244.36;B;B1;41500;Source Verified;jul/15;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7371114;9033063;11450;11450;11450;36 months;14.3;393.01;C;C1;65000;Source Verified;nov/13;Charged Off;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12967808;15000001;13625;13625;13625;36 months;15.61;476.4;C;C5;48000;Not Verified;mar/14;Charged Off;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58061230;61864977;23000;23000;23000;36 months;9.17;733.22;B;B2;87550;Source Verified;Aug-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34803392;37496709;4250;4250;4250;36 months;8.19;133.56;A;A5;43200;Not Verified;nov/14;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5544911;6917074;22750;22750;22750;60 months;10.16;485.17;B;B1;51000;Verified;jun/13;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28843825;31367039;12600;12600;12600;36 months;16.99;449.17;D;D3;30000;Not Verified;Oct-2014;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63244663;67596392;28000;28000;28000;36 months;5.32;843.22;A;A1;400000;Source Verified;Oct-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38504887;41298648;20775;20775;20775;36 months;17.86;749.61;D;D5;85000;Source Verified;jan/15;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68565204;73454981;15000;15000;15000;60 months;18.99;389.03;E;E1;100000;Source Verified;Dec-2015;Issued;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1211255;1452416;6000;6000;6000;36 months;6.03;182.62;A;A1;40000;Verified;Apr-2012;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63427670;67770471;20000;20000;19875;60 months;16.99;496.95;D;D3;80000;Source Verified;Oct-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56472411;60154132;35000;35000;35000;60 months;14.65;826.24;C;C5;102000;Source Verified;Aug-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10548622;12430564;8000;8000;8000;36 months;19.22;294.14;D;D4;31000;Not Verified;jan/14;Charged Off;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43957279;46974082;4800;4800;4800;36 months;12.29;160.1;C;C1;46000;Not Verified;Apr-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59313014;63200820;7000;7000;7000;36 months;13.99;239.21;C;C4;55000;Source Verified;Sep-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5768723;7200941;8875;8875;8875;36 months;20.49;332.05;E;E1;26000;Verified;jun/13;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66210490;70935216;6000;6000;6000;36 months;9.17;191.28;B;B2;60000;Source Verified;Dec-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25507112;27960066;10000;10000;10000;36 months;12.99;336.9;C;C1;50000;Source Verified;Aug-2014;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55472659;59074413;14700;14700;14700;60 months;18.55;377.7;E;E2;35000;Source Verified;jul/15;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61339767;65458519;24000;24000;24000;36 months;7.89;750.86;A;A5;84000;Verified;Oct-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65684813;70317590;24000;24000;23900;60 months;12.59;541.05;C;C2;220000;Verified;nov/15;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45544639;48662357;14000;14000;13900;36 months;8.18;439.88;B;B1;45000;Not Verified;Apr-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43710238;46726975;16150;16150;16150;36 months;9.17;514.85;B;B2;40000;Source Verified;Apr-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46833245;49981002;27200;27200;27200;36 months;19.52;1004.21;E;E3;65000;Verified;May-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13028661;15060835;17500;17500;17500;60 months;19.99;463.55;E;E1;40000;Source Verified;mar/14;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13167268;15199453;15000;15000;15000;60 months;14.64;354.03;C;C3;52000;Not Verified;mar/14;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3064642;3736812;23325;23325;23275;60 months;16.29;570.82;C;C4;52000;Verified;jan/13;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62072249;66264965;30000;30000;30000;60 months;13.33;687.68;C;C3;70000;Verified;Oct-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
