X.1;X;InvoiceNo;StockCode;Description;Quantity;InvoiceDate;UnitPrice;CustomerID;Country
50740;52875;540821;22856;ASSORTED EASTER DECORATIONS  BELLS;1;01/11/2011 13:16;16.13;NA;United Kingdom
30548;31715;539009;84949;SILVER HANGING T-LIGHT HOLDER;6;12/15/10 13:24;1.65;13221;United Kingdom
89700;93683;544304;21258;VICTORIAN SEWING BOX LARGE;1;2/17/11 13:47;12.75;18125;United Kingdom
30098;31226;538905;22301;COFFEE MUG CAT + BIRD DESIGN;6;12/15/10 10:31;2.55;13611;United Kingdom
19843;20545;538064;21902;KEY FOB , FRONT  DOOR;6;12/09/2010 13:47;0.65;15271;United Kingdom
86781;90674;544062;21175;GIN + TONIC DIET METAL SIGN;2;2/15/11 13:19;2.55;15311;United Kingdom
92357;96541;544571;22077;6 RIBBONS RUSTIC CHARM;12;2/21/11 13:07;1.65;15146;United Kingdom
8700;9027;537163;21914;BLUE HARMONICA IN BOX;12;12/05/2010 13:21;1.25;17863;United Kingdom
83026;86565;543555;22726;ALARM CLOCK BAKELIKE GREEN;4;02/10/2011 10:18;3.75;17686;United Kingdom
69240;72078;542229;22467;GUMBALL COAT RACK;12;1/26/11 13:38;2.55;12474;Germany
21002;21744;538117;22969;HOMEMADE JAM SCENTED CANDLES;12;12/09/2010 15:33;1.45;13327;United Kingdom
75872;79114;542906;22355;CHARLOTTE BAG SUKI DESIGN;4;02/01/2011 15:12;1.63;NA;United Kingdom
77601;80905;543097;22475;SKULL DESIGN TV DINNER TRAY;1;02/03/2011 11:41;10.79;NA;United Kingdom
7864;8181;537128;22593;CHRISTMAS GINGHAM STAR;36;12/05/2010 12:15;0.85;12841;United Kingdom
13515;13946;537435;22697;GREEN REGENCY TEACUP AND SAUCER;10;12/06/2010 16:58;2.95;17920;United Kingdom
16932;17475;537764;21929;JUMBO BAG PINK VINTAGE PAISLEY;1;12/08/2010 12:06;1.95;16893;United Kingdom
49572;51629;540647;47559B;TEA TIME OVEN GLOVE;3;01/10/2011 14:57;1.25;17406;United Kingdom
45943;47937;540458;22195;LARGE HEART MEASURING SPOONS;12;01/07/2011 12:28;1.65;12501;Germany
60664;63104;541520;21936;RED RETROSPOT PICNIC BAG;5;1/19/11 9:13;2.95;12422;Australia
93930;98244;544673;22895;SET OF 2 TEA TOWELS APPLE AND PEARS;10;2/22/11 15:46;2.95;13421;United Kingdom
19276;19937;537955;21843;RED RETROSPOT CAKE STAND;2;12/09/2010 11:28;10.95;16782;United Kingdom
65442;68100;541854;21826;EIGHT PIECE DINOSAUR SET;1;1/23/11 14:58;1.25;18283;United Kingdom
86585;90470;544040;21468;BUTTERFLY CROCHET FOOD COVER;2;2/15/11 11:40;3.75;14701;United Kingdom
53873;56093;541021;22621;TRADITIONAL KNITTING NANCY;48;1/13/11 12:03;1.25;13093;United Kingdom
8111;8436;537135;22585;PACK OF 6 BIRDY GIFT TAGS;2;12/05/2010 12:35;1.25;17059;United Kingdom
70720;73620;542369;22556;PLASTERS IN TIN CIRCUS PARADE;24;1/27/11 13:08;1.65;12645;Germany
31876;33149;539225;22355;CHARLOTTE BAG SUKI DESIGN;10;12/16/10 13:02;0.85;15379;United Kingdom
45948;47942;540458;21558;SKULL LUNCH BOX WITH CUTLERY;6;01/07/2011 12:28;2.55;12501;Germany
81815;85301;543467;22355;CHARLOTTE BAG SUKI DESIGN;4;02/08/2011 14:35;1.63;NA;United Kingdom
81546;85027;543458;82494L;WOODEN FRAME ANTIQUE WHITE;3;02/08/2011 13:28;2.95;14587;United Kingdom
30146;31275;538917;90200C;BLUE SWEETHEART BRACELET;6;12/15/10 10:57;4.25;17449;United Kingdom
72871;75964;542617;22384;LUNCH BAG PINK POLKADOT;3;1/30/11 15:48;1.65;17463;United Kingdom
34010;35377;539436;22178;VICTORIAN GLASS HANGING T-LIGHT;1;12/17/10 14:49;2.51;NA;United Kingdom
12720;13144;537421;22571;ROCKING HORSE RED CHRISTMAS;3;12/06/2010 15:25;0.85;17218;United Kingdom
5780;6019;536876;37370;RETRO COFFEE MUGS ASSORTED;1;12/03/2010 11:36;16.13;NA;United Kingdom
82876;86407;543546;22430;ENAMEL WATERING CAN CREAM;1;02/09/2011 16:52;9.96;NA;United Kingdom
36305;37690;539475;22746;POPPY'S PLAYHOUSE LIVINGROOM;2;12/19/10 14:41;2.10;16686;United Kingdom
95583;99921;544792;22804;CANDLEHOLDER PINK HANGING HEART;32;2/23/11 12:37;2.55;18172;United Kingdom
84606;88335;543800;22620;4 TRADITIONAL SPINNING TOPS;16;2/13/11 11:36;1.25;17282;United Kingdom
40157;41767;539958;20869;GOLD FABRIC MIRROR;8;12/23/10 13:26;0.85;NA;United Kingdom
74032;77163;542713;22419;LIPSTICK PEN RED;12;1/31/11 13:27;0.42;12668;Germany
73431;76524;542627;22025;RING OF ROSES BIRTHDAY CARD;12;1/31/11 9:51;0.42;14426;United Kingdom
40674;42286;539978;22469;HEART OF WICKER SMALL;40;12/23/10 14:06;1.45;13165;United Kingdom
66687;69405;541970;22975;SPACEBOY CHILDRENS EGG CUP;12;1/24/11 13:48;1.25;15179;United Kingdom
21019;21777;538127;90033;IVORY SHELL HEART EARRINGS;1;12/09/2010 15:53;2.55;NA;United Kingdom
12215;12615;537390;18094C;WHITE AND BLUE CERAMIC OIL BURNER;1;12/06/2010 13:47;1.25;16658;United Kingdom
54814;57050;541130;21888;BINGO SET;1;1/14/11 10:15;7.46;NA;United Kingdom
27524;28488;538638;84849B;FAIRY SOAP SOAP HOLDER;1;12/13/10 14:16;1.69;17231;United Kingdom
37699;39166;539631;22182;CAKE STAND VICTORIAN FILIGREE SMALL;3;12/20/10 15:03;4.21;NA;United Kingdom
10247;10601;537237;22729;ALARM CLOCK BAKELIKE ORANGE;1;12/06/2010 09:58;7.62;NA;United Kingdom
44891;46797;540362;21672;WHITE SPOT RED CERAMIC DRAWER KNOB;1;01/06/2011 15:42;1.25;13656;United Kingdom
92668;96889;544592;22760;TRAY, BREAKFAST IN BED;6;2/21/11 15:30;10.95;16775;United Kingdom
57685;60077;541421;21913;VINTAGE SEASIDE JIGSAW PUZZLES;3;1/17/11 17:44;3.29;NA;United Kingdom
91178;95240;544450;47567B;TEA TIME KITCHEN APRON;1;2/20/11 12:23;5.95;17811;United Kingdom
46941;48951;540482;21376;LARGE  TALL CAMPHOR WOOD TOADSTOOL;2;01/07/2011 15:48;5.45;14672;United Kingdom
49721;51793;540680;84997D;PINK 3 PIECE POLKADOT CUTLERY SET;4;01/10/2011 16:24;3.75;15311;United Kingdom
2889;2989;536592;85049E;SCANDINAVIAN REDS RIBBONS;5;12/01/2010 17:06;2.51;NA;United Kingdom
90566;94582;544395;22722;SET OF 6 SPICE TINS PANTRY DESIGN;16;2/18/11 12:13;3.95;13397;United Kingdom
12134;12531;537382;21811;CHRISTMAS HANGING HEART WITH BELL;1;12/06/2010 13:13;1.25;16710;United Kingdom
47437;49455;540516;84874B;BLUE TRAVEL FIRST AID KIT;1;01/09/2011 12:01;1.65;16326;United Kingdom
11153;11532;537253;22911;PAPER CHAIN KIT LONDON;6;12/06/2010 10:53;2.95;NA;United Kingdom
56608;58981;541266;22974;CHILDRENS DOLLY GIRL MUG;6;1/16/11 16:25;1.65;15673;United Kingdom
87164;91086;544087;22694;WICKER STAR;1;2/15/11 17:02;2.10;17530;United Kingdom
24025;24868;538349;85174;S/4 CACTI CANDLES;2;12/10/2010 14:59;11.02;NA;United Kingdom
46413;48413;540468;22162;HEART GARLAND RUSTIC PADDED;3;01/07/2011 13:55;3.36;NA;United Kingdom
80445;83874;543355;21670;BLUE SPOT CERAMIC DRAWER KNOB;2;02/07/2011 13:50;1.25;16033;United Kingdom
85328;89073;543826;22720;SET OF 3 CAKE TINS PANTRY DESIGN;3;2/14/11 9:41;10.79;NA;United Kingdom
51578;53740;540848;22134;MINI LADLE LOVE HEART RED;2;01/12/2011 09:26;0.43;NA;United Kingdom
21014;21772;538126;22626;BLACK KITCHEN SCALES;2;12/09/2010 15:50;8.50;17838;United Kingdom
39730;41316;539826;22170;PICTURE FRAME WOOD TRIPLE PORTRAIT;4;12/22/10 12:39;6.75;15044;United Kingdom
4327;4492;536784;22454;MEASURING TAPE BABUSHKA RED;12;12/02/2010 15:20;2.55;15061;United Kingdom
4706;4912;536821;21094;SET/6 RED SPOTTY PAPER PLATES;6;12/02/2010 17:17;0.85;17757;United Kingdom
53657;55871;541004;21985;PACK OF 12 HEARTS DESIGN TISSUES;24;1/13/11 10:35;0.29;18190;United Kingdom
28665;29717;538816;22654;DELUXE SEWING KIT;6;12/14/10 12:35;5.95;16812;United Kingdom
49357;51414;540646;22264;FELT FARM ANIMAL WHITE BUNNY;1;01/10/2011 14:32;0.81;NA;United Kingdom
44967;46874;540365;85014A;BLACK/BLUE POLKADOT UMBRELLA;3;01/06/2011 16:12;5.95;12413;France
31956;33231;539243;84968C;SET OF 16 VINTAGE PISTACHIO CUTLERY;3;12/16/10 13:21;12.75;18116;United Kingdom
44580;46477;540353;22796;PHOTO FRAME 3 CLASSIC HANGING;1;01/06/2011 14:53;9.95;13764;United Kingdom
66658;69370;541969;21896;POTTING SHED TWINE;1;1/24/11 13:46;4.13;NA;United Kingdom
66491;69202;541965;22961;JAM MAKING SET PRINTED;24;1/24/11 13:27;1.45;12625;Germany
13123;13554;537434;22359;GLASS JAR KINGS CHOICE;1;12/06/2010 16:57;5.91;NA;United Kingdom
35419;36792;539453;22245;HOOK, 1 HANGER ,MAGIC GARDEN;1;12/17/10 17:08;1.66;NA;United Kingdom
81593;85074;543461;22200;FRYING PAN PINK POLKADOT;1;02/08/2011 13:35;8.29;NA;United Kingdom
82249;85778;543519;21240;BLUE POLKADOT CUP;24;02/09/2011 11:38;0.85;17083;United Kingdom
53614;55818;540998;84380;SET OF 3 BUTTERFLY COOKIE CUTTERS;12;1/13/11 10:04;1.25;15290;United Kingdom
90719;94750;544409;79000;MOROCCAN TEA GLASS;12;2/18/11 13:32;0.85;16265;United Kingdom
58873;61265;541424;84968C;SET OF 16 VINTAGE PISTACHIO CUTLERY;9;1/17/11 17:57;8.29;NA;United Kingdom
25666;26605;538518;84879;ASSORTED COLOUR BIRD ORNAMENT;8;12/12/2010 16:14;1.69;14505;United Kingdom
76852;80133;543022;21876;POTTERING MUG;1;02/02/2011 14:37;1.25;16771;United Kingdom
68868;71693;542192;22967;SET 3 SONG BIRD PAPER EGGS ASSORTED;4;1/26/11 11:27;2.95;14049;United Kingdom
83657;87271;543648;22241;GARLAND WOODEN HAPPY EASTER;12;02/11/2011 08:45;1.25;15114;United Kingdom
6107;6346;536876;21986;PACK OF 12 PINK POLKADOT TISSUES;4;12/03/2010 11:36;0.85;NA;United Kingdom
91610;95681;544463;90147;CHUNKY SILVER NECKLACE PASTEL FLOWE;3;2/20/11 14:31;9.95;12988;United Kingdom
77628;80932;543097;22933;BAKING MOULD EASTER EGG MILK CHOC;1;02/03/2011 11:41;5.79;NA;United Kingdom
54979;57215;541134;21469;POLKA DOT RAFFIA FOOD COVER;6;1/14/11 10:20;3.75;15615;United Kingdom
78609;81965;543182;22804;CANDLEHOLDER PINK HANGING HEART;2;02/04/2011 10:40;3.29;NA;United Kingdom
32511;33813;539296;22567;20 DOLLY PEGS RETROSPOT;12;12/16/10 17:01;1.25;16816;United Kingdom
37521;38984;539607;21865;PINK UNION JACK  PASSPORT COVER;6;12/20/10 14:10;2.10;12681;France
1695;1753;536544;82613D;METAL SIGN CUPCAKE SINGLE HOOK;1;12/01/2010 14:32;2.51;NA;United Kingdom
79474;82870;543273;47420;ASSORTED COLOUR SUCTION CUP HOOK;2;02/06/2011 11:29;0.19;16456;United Kingdom
47281;49299;540511;22066;LOVE HEART TRINKET POT;2;01/09/2011 11:34;1.45;14472;United Kingdom
36057;37431;539464;22473;TV DINNER TRAY VINTAGE PAISLEY;1;12/19/10 11:35;4.95;17913;United Kingdom
84262;87909;543736;22179;SET 10 LIGHTS NIGHT OWL;2;02/11/2011 12:36;6.75;15044;United Kingdom
72742;75835;542611;22644;CERAMIC CHERRY CAKE MONEY BANK;4;1/30/11 14:13;1.45;15415;United Kingdom
77701;81036;543107;22938;CUPCAKE LACE PAPER SET 6;24;02/03/2011 12:27;1.95;13800;United Kingdom
60665;63105;541520;21932;SCANDINAVIAN PAISLEY PICNIC BAG;5;1/19/11 9:13;2.95;12422;Australia
48095;50130;540547;72780;BLACK SILOUETTE CANDLE PLATE;12;01/09/2011 16:07;0.85;14911;EIRE
40444;42054;539958;90214E;"LETTER ""E"" BLING KEY RING";3;12/23/10 13:26;0.85;NA;United Kingdom
20697;21405;538077;85040B;SET/4 BLUE FLOWER CANDLES IN BOWL;12;12/09/2010 14:19;1.65;14667;United Kingdom
19810;20490;538056;90036D;"FLOWER GLASS GARLAND NECKL.36""BLACK";1;12/09/2010 13:34;7.95;17198;United Kingdom
20226;20930;538071;22190;LOCAL CAFE MUG;4;12/09/2010 14:09;2.51;NA;United Kingdom
87156;91078;544087;85188B;PINK METAL SWINGING BUNNY;2;2/15/11 17:02;0.85;17530;United Kingdom
6443;6697;536975;22585;PACK OF 6 BIRDY GIFT TAGS;12;12/03/2010 14:04;1.25;14911;EIRE
55546;57852;541219;21194;PINK  HONEYCOMB PAPER FAN;1;1/14/11 14:06;1.63;NA;United Kingdom
84289;87937;543737;22721;SET OF 3 CAKE TINS SKETCHBOOK;6;02/11/2011 12:45;4.95;12477;Germany
43484;45288;540255;84870B;BLUE GEISHA GIRL;1;01/05/2011 16:50;2.51;NA;United Kingdom
36506;37896;539488;22813;PACK 3 BOXES BIRD PANNETONE;24;12/20/10 9:37;1.95;12377;Switzerland
21675;22444;538170;21790;VINTAGE SNAP CARDS;3;12/09/2010 19:32;0.85;13969;United Kingdom
50227;52312;540703;22985;WRAP, BILLBOARD FONTS DESIGN;25;01/11/2011 09:58;0.42;14135;United Kingdom
92945;97167;544599;22568;FELTCRAFT CUSHION OWL;1;2/21/11 18:15;7.46;NA;United Kingdom
76591;79870;543010;85175;CACTI T-LIGHT CANDLES;16;02/02/2011 13:16;0.42;18250;United Kingdom
12509;12912;537400;22758;LARGE PURPLE BABUSHKA NOTEBOOK;2;12/06/2010 14:36;1.25;17191;United Kingdom
95451;99789;544789;22961;JAM MAKING SET PRINTED;12;2/23/11 12:25;1.45;13993;United Kingdom
28779;29839;538827;22881;NUMBER TILE VINTAGE FONT 2;24;12/14/10 12:59;0.42;14298;United Kingdom
91422;95489;544460;21135;VICTORIAN  METAL POSTCARD SPRING;1;2/20/11 14:01;1.69;16931;United Kingdom
59778;62204;541497;85163A;WHITE BAROQUE WALL CLOCK;1;1/18/11 15:19;8.29;NA;United Kingdom
61813;64296;541596;84991;60 TEATIME FAIRY CAKE CASES;3;1/19/11 16:19;0.55;17602;United Kingdom
48888;50933;540568;22804;CANDLEHOLDER PINK HANGING HEART;1;01/10/2011 11:22;2.95;15039;United Kingdom
14495;14991;537628;22867;HAND WARMER BIRD DESIGN;24;12/07/2010 15:02;2.10;16293;United Kingdom
51540;53702;540848;90104;PURPLE FRANGIPANI HAIRCLIP;4;01/12/2011 09:26;0.83;NA;United Kingdom
40993;42627;540014;22499;WOODEN UNION JACK BUNTING;1;01/04/2011 11:34;5.95;14606;United Kingdom
85793;89585;543911;22200;FRYING PAN PINK POLKADOT;6;2/14/11 12:46;4.25;17829;United Arab Emirates
23169;23970;538296;84799;SPRIG LAVENDER ARTIFICIAL FLOWER;48;12/10/2010 13:06;0.42;13148;United Kingdom
21903;22678;538177;21361;LOVE LARGE WOOD LETTERS;1;12/10/2010 09:51;25.49;NA;United Kingdom
50621;52753;540816;22659;LUNCH BOX I LOVE LONDON;6;01/11/2011 12:55;1.95;15518;United Kingdom
30996;32189;539044;22113;GREY HEART HOT WATER BOTTLE;4;12/15/10 15:47;3.75;15727;United Kingdom
26310;27252;538524;90104;PURPLE FRANGIPANI HAIRCLIP;2;12/13/10 9:35;0.83;NA;United Kingdom
60077;62511;541506;20711;JUMBO BAG TOYS;1;1/18/11 16:05;4.13;NA;United Kingdom
76812;80093;543020;21481;FAWN BLUE HOT WATER BOTTLE;2;02/02/2011 14:29;2.95;15005;United Kingdom
16799;17333;537738;21479;WHITE SKULL HOT WATER BOTTLE;4;12/08/2010 11:02;3.75;17706;United Kingdom
42375;44067;540154;85178;VICTORIAN SEWING KIT;1;01/05/2011 11:30;2.51;NA;United Kingdom
53671;55885;541005;22134;MINI LADLE LOVE HEART RED;3;1/13/11 10:39;0.42;16161;United Kingdom
37592;39059;539629;22988;SOLDIERS EGG CUP;24;12/20/10 14:51;1.25;14062;United Kingdom
72482;75567;542602;22804;CANDLEHOLDER PINK HANGING HEART;2;1/30/11 12:09;2.95;15579;United Kingdom
44110;46007;540349;21935;SUKI  SHOULDER BAG;10;01/06/2011 14:07;1.65;15379;United Kingdom
90236;94225;544337;21495;SKULLS AND CROSSBONES WRAP;25;2/18/11 8:34;0.42;13425;United Kingdom
51791;53953;540848;84569D;PACK 6 HEART/ICE-CREAM PATCHES;14;01/12/2011 09:26;0.85;NA;United Kingdom
67976;70764;542102;22345;PARTY PIZZA DISH BLUE POLKADOT;24;1/25/11 13:26;0.21;12744;Singapore
8529;8855;537154;37370;RETRO COFFEE MUGS ASSORTED;12;12/05/2010 13:05;1.25;15808;United Kingdom
60281;62716;541516;47585A;PINK FAIRY CAKE CUSHION COVER;2;1/18/11 17:34;4.13;NA;United Kingdom
88807;92765;544205;21033;JUMBO BAG CHARLIE AND LOLA TOYS;1;2/17/11 10:31;5.38;NA;United Kingdom
26695;27645;538566;20704;MR ROBOT SOFT TOY;1;12/13/10 11:21;14.43;NA;United Kingdom
63110;65642;541696;22446;PIN CUSHION BABUSHKA PINK;4;1/20/11 18:08;2.46;NA;United Kingdom
46731;48732;540473;84378;SET OF 3 HEART COOKIE CUTTERS;3;01/07/2011 14:31;1.25;17284;United Kingdom
3748;3869;536707;21843;RED RETROSPOT CAKE STAND;1;12/02/2010 12:33;10.95;12915;United Kingdom
86234;90044;543985;22294;HEART FILIGREE DOVE  SMALL;1;2/15/11 9:44;2.46;NA;United Kingdom
94929;99258;544766;22778;GLASS CLOCHE SMALL;2;2/23/11 11:09;8.29;NA;United Kingdom
72281;75361;542586;21559;STRAWBERRY LUNCH BOX WITH CUTLERY;6;1/28/11 15:45;2.55;12377;Switzerland
83523;87113;543631;85036C;ROSE 1 WICK MORRIS BOXED CANDLE;1;02/10/2011 16:17;4.25;14081;United Kingdom
56327;58696;541260;22957;SET 3 PAPER VINTAGE CHICK PAPER EGG;1;1/16/11 15:44;2.95;16059;United Kingdom
66798;69516;541971;22713;CARD I LOVE LONDON;1;1/24/11 13:48;0.83;NA;United Kingdom
37003;38397;539551;85135C;RED DRAGONFLY HELICOPTER;2;12/20/10 11:38;7.95;12721;France
76129;79401;542933;84375;SET OF 20 KIDS COOKIE CUTTERS;48;02/02/2011 10:56;2.10;14411;United Kingdom
81780;85266;543467;22037;ROBOT BIRTHDAY CARD;2;02/08/2011 14:35;0.83;NA;United Kingdom
78739;82097;543188;22960;JAM MAKING SET WITH JARS;6;02/04/2011 11:45;4.25;12567;France
16227;16752;537666;85232D;SET/3 DECOUPAGE STACKING TINS;1;12/07/2010 18:36;10.17;NA;United Kingdom
52594;54791;540977;20801;LARGE PINK GLASS SUNDAE DISH;9;01/12/2011 15:01;2.51;NA;United Kingdom
7490;7805;537057;22379;RECYCLING BAG RETROSPOT;2;12/05/2010 11:49;2.10;15351;United Kingdom
84286;87934;543737;35241;ENAMEL BLUE RIM BISCUIT BIN;24;02/11/2011 12:45;4.25;12477;Germany
87786;91717;544115;22551;PLASTERS IN TIN SPACEBOY;12;2/16/11 11:45;1.65;12727;France
92543;96761;544586;22750;FELTCRAFT PRINCESS LOLA DOLL;3;2/21/11 15:04;3.75;17338;United Kingdom
39550;41127;539750;22069;BROWN  PIRATE TREASURE CHEST;10;12/21/10 15:40;4.21;NA;United Kingdom
76809;80090;543020;85152;HAND OVER THE CHOCOLATE   SIGN;1;02/02/2011 14:29;2.10;15005;United Kingdom
6623;6884;536982;22112;CHOCOLATE HOT WATER BOTTLE;31;12/03/2010 14:27;12.72;NA;United Kingdom
45076;46987;540372;20679;EDWARDIAN PARASOL RED;3;01/06/2011 16:41;5.95;13081;United Kingdom
60224;62658;541509;22722;SET OF 6 SPICE TINS PANTRY DESIGN;1;1/18/11 16:31;3.95;13263;United Kingdom
31638;32905;539196;84917;WHITE HAND TOWEL WITH BUTTERFLY;4;12/16/10 12:09;5.95;18055;United Kingdom
91935;96006;544471;82578;KITCHEN METAL SIGN;24;2/21/11 8:50;0.55;18094;United Kingdom
20364;21068;538071;22631;CIRCUS PARADE LUNCH BOX;1;12/09/2010 14:09;4.21;NA;United Kingdom
70521;73395;542345;22079;RIBBON REEL HEARTS DESIGN;2;1/27/11 11:55;1.65;15910;United Kingdom
30037;31164;538901;20724;RED RETROSPOT CHARLOTTE BAG;10;12/15/10 9:58;0.85;17629;United Kingdom
28044;29037;538689;22086;PAPER CHAIN KIT 50'S CHRISTMAS;12;12/14/10 9:52;2.95;13050;United Kingdom
42234;43926;540154;22346;PARTY PIZZA DISH GREEN POLKADOT;1;01/05/2011 11:30;0.43;NA;United Kingdom
56140;58507;541249;21986;PACK OF 12 PINK POLKADOT TISSUES;12;1/16/11 13:18;0.29;13700;United Kingdom
